"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,1088,1495,1754,1650,2543,994,71,1698,966,0,99,2231,1605,1595,1314,2157,1087,1731,1035,1105,960,1010,1531,1364,1596,2593,1651
"Bulgaria",0,0,2127,207,166,1089,2567,798,296,2577,234,174,784,2037,204,2412,1556,2599,280,2680,2622,2545,2658,2113,41,157,1101,201
"Czechia",0,0,0,645,631,1467,1919,321,750,1936,0,66,1243,2332,655,2265,1913,1965,775,2045,2107,1906,2011,2399,361,606,1499,702
"Denmark",0,0,0,0,2427,1734,206,121,2461,164,1,87,2015,846,2388,458,1295,294,2502,192,263,162,181,739,2216,2396,1738,2498
"Germany",0,0,0,0,0,1595,177,116,2371,136,1,51,1916,739,2453,364,1198,252,2357,166,212,134,146,638,2323,2499,1634,2325
"Estonia",0,0,0,0,0,0,939,99,1678,967,8,107,2211,1575,1593,1303,2073,1088,1711,1036,1101,962,1012,1503,1365,1594,2483,1631
"Ireland",0,0,0,0,0,0,0,791,297,2407,323,252,732,1861,215,2199,1435,2388,278,2467,2406,2477,2494,1938,63,168,1005,201
"Spain",0,0,0,0,0,0,0,0,52,840,1960,1849,130,314,140,529,184,745,147,772,706,864,793,314,104,116,69,120
"France",0,0,0,0,0,0,0,0,0,159,8,76,1962,869,2331,493,1264,382,2391,282,338,253,272,762,2171,2340,1682,2359
"Croatia",0,0,0,0,0,0,0,0,0,0,254,263,670,1841,174,2208,1402,2392,239,2477,2412,2391,2503,1916,29,127,978,159
"Italy",0,0,0,0,0,0,0,0,0,0,0,2468,0,0,1,0,9,225,7,221,161,370,261,0,0,1,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,73,54,61,101,165,85,155,124,201,183,73,39,51,99,87
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,1305,1888,973,1817,788,2032,737,796,682,712,1250,1674,1927,2177,1954
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,2174,2005,1871,888,1952,2005,1822,1923,2342,459,648,1608,823
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,1141,290,2318,204,250,174,184,662,2278,2458,1579,2286
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1719,2236,511,2331,2383,2181,2282,2230,83,359,1329,440
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,1296,1497,1553,1402,1462,1927,903,1130,2156,1267
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,2495,2435,2364,2473,1949,126,243,1094,288
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,310,238,256,786,2156,2326,1718,2402
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2531,2445,2558,2025,34,157,1048,186
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2383,2492,2085,35,203,1113,242
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2471,1898,21,126,972,160
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990,40,137,1023,176
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,615,1535,714
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325,1345,2128
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,2294
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1635
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
