"","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Bulgaria",0,85,2,2,2,100,29,2,100,8,8,2,85,2,92,71,100,2,100,99,100,100,85,1,2,55,2
"Czechia",0,0,17,17,17,85,14,17,85,0,0,17,100,17,93,86,85,17,85,86,85,85,100,8,17,70,17
"Denmark",0,0,0,100,100,2,1,100,2,0,0,100,17,100,10,31,2,100,2,3,2,2,17,91,100,47,100
"Germany",0,0,0,0,100,2,1,100,2,0,0,100,17,100,10,31,2,100,2,3,2,2,17,91,100,47,100
"Estonia",0,0,0,0,0,2,1,100,2,0,0,100,17,100,10,31,2,100,2,3,2,2,17,91,100,47,100
"Ireland",0,0,0,0,0,0,29,2,100,8,8,2,85,2,92,71,100,2,100,99,100,100,85,1,2,55,2
"Spain",0,0,0,0,0,0,0,1,29,79,79,1,14,1,21,9,29,1,29,28,29,29,14,1,1,1,1
"France",0,0,0,0,0,0,0,0,2,0,0,100,17,100,10,31,2,100,2,3,2,2,17,91,100,47,100
"Croatia",0,0,0,0,0,0,0,0,0,8,8,2,85,2,92,71,100,2,100,99,100,100,85,1,2,55,2
"Italy",0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,8,0,8,7,8,8,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,7,8,8,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,17,100,10,31,2,100,2,3,2,2,17,91,100,47,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,17,93,86,85,17,85,86,85,85,100,8,17,70,17
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,2,100,2,3,2,2,17,91,100,47,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,92,10,92,93,92,92,93,1,10,63,10
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,31,71,72,71,71,86,22,31,84,31
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,99,100,100,85,1,2,55,2
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,17,91,100,47,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,100,100,85,1,2,55,2
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,86,1,3,56,3
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,85,1,2,55,2
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,2,55,2
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,70,17
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,38,91
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
