"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,50,67,67,57,100,50,3,67,0,0,98,67,57,60,77,50,67,50,51,49,49,67,43,57,99,67
"Bulgaria",0,0,83,17,7,50,100,30,17,10,10,48,83,7,90,73,100,17,100,99,99,99,83,3,7,51,17
"Czechia",0,0,0,34,24,67,83,13,34,0,0,65,100,24,93,90,83,34,83,84,82,82,100,10,24,68,34
"Denmark",0,0,0,0,90,67,17,3,100,0,0,69,34,90,27,44,17,100,17,18,16,16,34,76,90,66,100
"Germany",0,0,0,0,0,57,7,3,90,0,0,59,24,100,17,34,7,90,7,8,6,6,24,86,100,56,90
"Estonia",0,0,0,0,0,0,50,3,67,0,0,98,67,57,60,77,50,67,50,51,49,49,67,43,57,99,67
"Ireland",0,0,0,0,0,0,0,30,17,10,10,48,83,7,90,73,100,17,100,99,99,99,83,3,7,51,17
"Spain",0,0,0,0,0,0,0,0,3,80,78,3,13,3,20,11,30,3,30,29,31,31,13,1,3,3,3
"France",0,0,0,0,0,0,0,0,0,0,0,69,34,90,27,44,17,100,17,18,16,16,34,76,90,66,100
"Italy",0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,10,0,10,9,11,11,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,9,10,10,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,65,59,58,75,48,69,48,49,47,47,65,45,59,97,69
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,24,93,90,83,34,83,84,82,82,100,10,24,68,34
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,7,90,7,8,6,6,24,86,100,56,90
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,90,27,90,91,89,89,93,3,17,61,27
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,44,73,74,72,72,90,20,34,78,44
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,100,99,99,99,83,3,7,51,17
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,18,16,16,34,76,90,66,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,83,3,7,51,17
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,84,3,8,52,18
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,82,2,6,50,16
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2,6,50,16
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,24,68,34
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,42,76
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,90
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
