"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,18,66,81,48,100,12,1,58,6,0,98,73,49,59,93,16,77,16,24,1,6,73,41,48,100,82
"Bulgaria",0,0,52,1,0,18,80,55,0,88,41,16,45,0,59,25,98,1,98,94,57,88,45,0,0,18,2
"Czechia",0,0,0,47,14,66,32,7,24,40,0,64,93,15,93,73,50,43,50,58,9,40,93,7,14,66,48
"Denmark",0,0,0,0,67,81,7,0,77,0,1,83,54,68,40,74,1,94,1,5,0,0,54,59,67,81,99
"Germany",0,0,0,0,0,48,7,0,90,0,1,50,21,99,7,41,0,71,0,0,0,0,21,92,100,48,66
"Estonia",0,0,0,0,0,0,12,1,58,6,0,98,73,49,59,93,16,77,16,24,1,6,73,41,48,100,82
"Ireland",0,0,0,0,0,0,0,68,7,92,54,10,39,7,39,19,82,8,82,74,70,92,39,7,7,12,8
"Spain",0,0,0,0,0,0,0,0,0,67,86,1,7,0,14,1,57,1,57,49,98,67,7,0,0,1,1
"France",0,0,0,0,0,0,0,0,0,0,1,60,31,91,17,51,0,81,0,0,0,0,31,82,90,58,76
"Croatia",0,0,0,0,0,0,0,0,0,0,53,4,33,0,47,13,90,1,90,82,69,100,33,0,0,6,1
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,43,0,43,35,84,53,0,0,1,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,71,51,57,91,14,79,14,22,1,4,71,43,50,98,84
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,22,86,80,43,50,43,51,9,33,100,14,21,73,55
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,42,0,72,0,0,0,0,22,91,99,49,67
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,57,36,57,65,16,47,86,0,7,59,41
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,70,23,31,2,13,80,34,41,93,75
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,92,59,90,43,0,0,16,2
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,50,64,71,77,95
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,59,90,43,0,0,16,2
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,82,51,0,0,24,6
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,9,0,0,1,1
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,6,1
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,21,73,55
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,41,59
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,66
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
