"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,17,67,86,50,100,22,0,68,14,0,99,74,53,62,93,18,77,15,26,0,14,74,38,50,100,86
"Bulgaria",0,0,50,4,1,17,91,56,3,97,45,16,43,1,55,24,99,3,98,91,61,97,43,0,1,17,4
"Czechia",0,0,0,53,17,67,41,6,35,47,0,66,93,20,95,74,51,44,48,59,11,47,93,5,17,67,53
"Denmark",0,0,0,0,64,86,9,0,82,1,0,87,60,67,48,79,5,91,2,12,0,1,60,52,64,86,100
"Germany",0,0,0,0,0,50,8,0,82,0,0,51,24,97,12,43,1,73,1,1,0,0,24,88,100,50,64
"Estonia",0,0,0,0,0,0,22,0,68,14,0,99,74,53,62,93,18,77,15,26,0,14,74,38,50,100,86
"Ireland",0,0,0,0,0,0,0,58,9,92,47,21,48,8,46,29,90,9,93,82,63,92,48,7,8,22,9
"Spain",0,0,0,0,0,0,0,0,0,59,89,0,6,0,11,0,55,0,58,47,95,59,6,0,0,0,0
"France",0,0,0,0,0,0,0,0,0,1,0,69,42,85,30,61,3,91,2,3,0,1,42,70,82,68,82
"Croatia",0,0,0,0,0,0,0,0,0,0,48,13,40,0,52,21,96,1,99,88,64,100,40,0,0,14,1
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,47,36,84,48,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,73,54,61,92,17,78,14,25,0,13,73,39,51,99,87
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,27,88,81,44,51,41,52,11,40,100,12,24,74,60
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,46,1,76,1,1,0,0,27,85,97,53,67
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,56,39,53,64,16,52,88,0,12,62,48
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,70,22,33,1,21,81,31,43,93,79
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,97,92,60,96,44,0,1,18,5
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,51,61,73,77,91
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,63,99,41,0,1,15,2
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,88,52,0,1,26,12
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,11,0,0,0,0
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,14,1
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24,74,60
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,38,52
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,64
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
