"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,45,60,56,56,100,45,1,56,45,0,0,60,56,51,77,45,56,45,51,45,45,60,50,56,99,56
"Bulgaria",0,0,85,1,1,45,100,23,1,100,6,6,85,1,94,68,100,1,100,94,100,100,85,1,1,46,1
"Czechia",0,0,0,16,16,60,85,8,16,85,0,0,100,16,91,83,85,16,85,91,85,85,100,10,16,61,16
"Denmark",0,0,0,0,100,56,1,1,100,1,0,0,16,100,7,33,1,100,1,7,1,1,16,94,100,55,100
"Germany",0,0,0,0,0,56,1,1,100,1,0,0,16,100,7,33,1,100,1,7,1,1,16,94,100,55,100
"Estonia",0,0,0,0,0,0,45,1,56,45,0,0,60,56,51,77,45,56,45,51,45,45,60,50,56,99,56
"Ireland",0,0,0,0,0,0,0,23,1,100,6,6,85,1,94,68,100,1,100,94,100,100,85,1,1,46,1
"Spain",0,0,0,0,0,0,0,0,1,23,83,83,8,1,17,7,23,1,23,17,23,23,8,1,1,1,1
"France",0,0,0,0,0,0,0,0,0,1,0,0,16,100,7,33,1,100,1,7,1,1,16,94,100,55,100
"Croatia",0,0,0,0,0,0,0,0,0,0,6,6,85,1,94,68,100,1,100,94,100,100,85,1,1,46,1
"Italy",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,6,0,6,0,6,6,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,6,0,0,0,0,0
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,16,91,83,85,16,85,91,85,85,100,10,16,61,16
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,1,100,1,7,1,1,16,94,100,55,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,94,7,94,100,94,94,91,1,7,52,7
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,33,68,74,68,68,83,27,33,78,33
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,94,100,100,85,1,1,46,1
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,1,16,94,100,55,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,100,100,85,1,1,46,1
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,91,1,7,52,7
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,85,1,1,46,1
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,1,46,1
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,61,16
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,49,94
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
