"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,45,60,57,57,100,45,0,57,45,0,0,57,57,51,97,45,57,45,45,43,45,60,51,57,100,57
"Bulgaria",0,0,85,2,2,45,100,28,2,100,6,6,2,2,94,48,100,2,100,100,98,100,85,2,2,45,2
"Czechia",0,0,0,17,17,60,85,13,17,85,0,0,17,17,91,63,85,17,85,85,83,85,100,11,17,60,17
"Denmark",0,0,0,0,100,57,2,0,100,2,0,0,100,100,8,54,2,100,2,2,0,2,17,94,100,57,100
"Germany",0,0,0,0,0,57,2,0,100,2,0,0,100,100,8,54,2,100,2,2,0,2,17,94,100,57,100
"Estonia",0,0,0,0,0,0,45,0,57,45,0,0,57,57,51,97,45,57,45,45,43,45,60,51,57,100,57
"Ireland",0,0,0,0,0,0,0,28,2,100,6,6,2,2,94,48,100,2,100,100,98,100,85,2,2,45,2
"Spain",0,0,0,0,0,0,0,0,0,28,78,76,0,0,22,0,28,0,28,28,30,28,13,0,0,0,0
"France",0,0,0,0,0,0,0,0,0,2,0,0,100,100,8,54,2,100,2,2,0,2,17,94,100,57,100
"Croatia",0,0,0,0,0,0,0,0,0,0,6,6,2,2,94,48,100,2,100,100,98,100,85,2,2,45,2
"Italy",0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,6,0,6,6,8,6,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,6,6,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,100,8,54,2,100,2,2,0,2,17,94,100,57,100
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,54,2,100,2,2,0,2,17,94,100,57,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,94,8,94,94,92,94,91,2,8,51,8
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,54,48,48,46,48,63,48,54,97,54
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,100,98,100,85,2,2,45,2
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,17,94,100,57,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,98,100,85,2,2,45,2
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,100,85,2,2,45,2
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,83,0,0,43,0
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,2,2,45,2
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,17,60,17
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,51,94
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
