"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,42,62,74,59,100,42,3,74,42,0,0,100,65,51,95,42,74,42,51,42,42,62,49,59,100,74
"Bulgaria",0,0,80,16,1,42,100,31,16,100,9,9,42,77,91,47,100,16,100,91,100,100,80,0,1,42,16
"Czechia",0,0,0,36,21,62,80,11,36,80,0,0,62,97,89,67,80,36,80,89,80,80,100,11,21,62,36
"Denmark",0,0,0,0,85,74,16,3,100,16,0,0,74,39,25,69,16,100,16,25,16,16,36,75,85,74,100
"Germany",0,0,0,0,0,59,1,0,85,1,0,0,59,24,10,54,1,85,1,10,1,1,21,90,100,59,85
"Estonia",0,0,0,0,0,0,42,3,74,42,0,0,100,65,51,95,42,74,42,51,42,42,62,49,59,100,74
"Ireland",0,0,0,0,0,0,0,31,16,100,9,9,42,77,91,47,100,16,100,91,100,100,80,0,1,42,16
"Spain",0,0,0,0,0,0,0,0,3,31,78,78,3,8,22,3,31,3,31,22,31,31,11,0,0,3,3
"France",0,0,0,0,0,0,0,0,0,16,0,0,74,39,25,69,16,100,16,25,16,16,36,75,85,74,100
"Croatia",0,0,0,0,0,0,0,0,0,0,9,9,42,77,91,47,100,16,100,91,100,100,80,0,1,42,16
"Italy",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,9,0,9,0,9,9,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,9,9,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,65,51,95,42,74,42,51,42,42,62,49,59,100,74
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,70,77,39,77,86,77,77,97,14,24,65,39
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,91,25,91,100,91,91,89,0,10,51,25
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,69,47,56,47,47,67,44,54,95,69
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,100,91,100,100,80,0,1,42,16
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,16,16,36,75,85,74,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,100,100,80,0,1,42,16
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,89,0,10,51,25
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,80,0,1,42,16
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,1,42,16
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,62,36
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,49,75
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,85
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
