"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,46,62,55,55,100,46,0,55,46,0,0,55,66,55,94,46,55,46,46,46,46,62,53,55,100,55
"Bulgaria",0,0,84,1,1,46,100,22,1,100,1,1,1,80,1,52,100,1,100,100,100,100,84,0,1,46,1
"Czechia",0,0,0,17,17,62,84,13,17,84,0,0,17,96,17,68,84,17,84,84,84,84,100,15,17,62,17
"Denmark",0,0,0,0,100,55,1,0,100,1,0,0,100,21,100,49,1,100,1,1,1,1,17,98,100,55,100
"Germany",0,0,0,0,0,55,1,0,100,1,0,0,100,21,100,49,1,100,1,1,1,1,17,98,100,55,100
"Estonia",0,0,0,0,0,0,46,0,55,46,0,0,55,66,55,94,46,55,46,46,46,46,62,53,55,100,55
"Ireland",0,0,0,0,0,0,0,22,1,100,1,1,1,80,1,52,100,1,100,100,100,100,84,0,1,46,1
"Spain",0,0,0,0,0,0,0,0,0,22,79,79,0,9,0,0,22,0,22,22,22,22,13,0,0,0,0
"France",0,0,0,0,0,0,0,0,0,1,0,0,100,21,100,49,1,100,1,1,1,1,17,98,100,55,100
"Croatia",0,0,0,0,0,0,0,0,0,0,1,1,1,80,1,52,100,1,100,100,100,100,84,0,1,46,1
"Italy",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,21,100,49,1,100,1,1,1,1,17,98,100,55,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,72,80,21,80,80,80,80,96,19,21,66,21
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,1,100,1,1,1,1,17,98,100,55,100
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,49,52,52,52,52,68,47,49,94,49
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,100,100,84,0,1,46,1
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,17,98,100,55,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,84,0,1,46,1
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,84,0,1,46,1
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,84,0,1,46,1
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,1,46,1
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,62,17
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,53,98
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
