"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,0,15,100,100,100,0,0,100,0,0,0,100,17,100,9,0,100,0,0,0,0,17,91,99,100,100
"Bulgaria",0,0,85,0,0,0,100,33,0,100,9,9,0,83,0,91,100,0,100,100,100,100,83,0,0,0,0
"Czechia",0,0,0,15,15,15,85,18,15,85,0,0,15,98,15,94,85,15,85,85,85,85,98,6,14,15,15
"Denmark",0,0,0,0,100,100,0,0,100,0,0,0,100,17,100,9,0,100,0,0,0,0,17,91,99,100,100
"Germany",0,0,0,0,0,100,0,0,100,0,0,0,100,17,100,9,0,100,0,0,0,0,17,91,99,100,100
"Estonia",0,0,0,0,0,0,0,0,100,0,0,0,100,17,100,9,0,100,0,0,0,0,17,91,99,100,100
"Ireland",0,0,0,0,0,0,0,33,0,100,9,9,0,83,0,91,100,0,100,100,100,100,83,0,0,0,0
"Spain",0,0,0,0,0,0,0,0,0,33,76,76,0,16,0,24,33,0,33,33,33,33,16,0,0,0,0
"France",0,0,0,0,0,0,0,0,0,0,0,0,100,17,100,9,0,100,0,0,0,0,17,91,99,100,100
"Croatia",0,0,0,0,0,0,0,0,0,0,9,9,0,83,0,91,100,0,100,100,100,100,83,0,0,0,0
"Italy",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,9,0,9,9,9,9,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,9,9,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,17,100,9,0,100,0,0,0,0,17,91,99,100,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,92,83,17,83,83,83,83,100,8,16,17,17
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,100,0,0,0,0,17,91,99,100,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,9,91,91,91,91,92,0,8,9,9
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,83,0,0,0,0
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,91,99,100,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,83,0,0,0,0
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,83,0,0,0,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,83,0,0,0,0
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16,17,17
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,91,91
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
