"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,52,59,57,57,100,55,0,57,52,0,0,97,59,57,52,80,57,52,52,51,52,60,49,57,97,57
"Bulgaria",0,0,93,9,9,52,97,26,9,100,0,0,49,93,9,100,72,9,100,100,96,100,92,1,9,55,9
"Czechia",0,0,0,16,16,59,90,19,16,93,0,0,56,100,16,93,79,16,93,93,89,93,99,8,16,62,16
"Denmark",0,0,0,0,100,57,12,0,100,9,0,0,60,16,100,9,37,100,9,9,8,9,17,92,100,54,100
"Germany",0,0,0,0,0,57,12,0,100,9,0,0,60,16,100,9,37,100,9,9,8,9,17,92,100,54,100
"Estonia",0,0,0,0,0,0,55,0,57,52,0,0,97,59,57,52,80,57,52,52,51,52,60,49,57,97,57
"Ireland",0,0,0,0,0,0,0,26,12,97,0,0,52,90,12,97,75,12,97,97,96,97,91,4,12,58,12
"Spain",0,0,0,0,0,0,0,0,0,26,74,73,0,19,0,26,13,0,26,26,30,26,19,0,0,0,0
"France",0,0,0,0,0,0,0,0,0,9,0,0,60,16,100,9,37,100,9,9,8,9,17,92,100,54,100
"Croatia",0,0,0,0,0,0,0,0,0,0,0,0,49,93,9,100,72,9,100,100,96,100,92,1,9,55,9
"Italy",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,56,60,49,77,60,49,49,48,49,57,52,60,94,60
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,93,79,16,93,93,89,93,99,8,16,62,16
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,37,100,9,9,8,9,17,92,100,54,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,9,100,100,96,100,92,1,9,55,9
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,72,72,71,72,80,29,37,83,37
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,8,9,17,92,100,54,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,96,100,92,1,9,55,9
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,100,92,1,9,55,9
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,89,0,8,54,8
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,1,9,55,9
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,63,17
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,46,92
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
