"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,53,65,64,51,100,53,1,64,53,0,0,96,68,51,60,94,53,53,60,53,53,65,41,51,100,64
"Bulgaria",0,0,88,17,4,53,100,26,17,100,7,7,49,85,4,93,59,100,100,93,100,100,88,1,4,53,17
"Czechia",0,0,0,29,16,65,88,14,29,88,0,0,61,97,16,95,71,88,88,95,88,88,100,6,16,65,29
"Denmark",0,0,0,0,87,64,17,1,100,17,0,0,68,32,87,24,58,17,17,24,17,17,29,77,87,64,100
"Germany",0,0,0,0,0,51,4,1,87,4,0,0,55,19,100,11,45,4,4,11,4,4,16,90,100,51,87
"Estonia",0,0,0,0,0,0,53,1,64,53,0,0,96,68,51,60,94,53,53,60,53,53,65,41,51,100,64
"Ireland",0,0,0,0,0,0,0,26,17,100,7,7,49,85,4,93,59,100,100,93,100,100,88,1,4,53,17
"Spain",0,0,0,0,0,0,0,0,1,26,81,81,1,11,1,19,1,26,26,19,26,26,14,1,1,1,1
"France",0,0,0,0,0,0,0,0,0,17,0,0,68,32,87,24,58,17,17,24,17,17,29,77,87,64,100
"Croatia",0,0,0,0,0,0,0,0,0,0,7,7,49,85,4,93,59,100,100,93,100,100,88,1,4,53,17
"Italy",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,64,55,56,90,49,49,56,49,49,61,45,55,96,68
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,92,74,85,85,92,85,85,97,9,19,68,32
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,45,4,4,11,4,4,16,90,100,51,87
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,93,93,100,93,93,95,1,11,60,24
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,59,66,59,59,71,35,45,94,58
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,93,100,100,88,1,4,53,17
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,100,100,88,1,4,53,17
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,95,1,11,60,24
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,88,1,4,53,17
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,1,4,53,17
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,65,29
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,41,77
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,87
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
