"","Belgium","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,67,65,54,100,64,0,65,61,0,0,97,68,54,61,97,61,65,61,61,61,61,67,39,54,100,65
"Czechia",0,0,32,21,67,91,18,32,94,0,0,64,99,21,94,70,94,32,94,94,91,94,100,6,21,67,32
"Denmark",0,0,0,89,65,29,0,100,26,0,0,68,33,89,26,62,26,100,26,26,26,26,32,74,89,65,100
"Germany",0,0,0,0,54,18,0,89,15,0,0,57,22,100,15,51,15,89,15,15,15,15,21,85,100,54,89
"Estonia",0,0,0,0,0,64,0,65,61,0,0,97,68,54,61,97,61,65,61,61,61,61,67,39,54,100,65
"Ireland",0,0,0,0,0,0,24,29,97,0,0,61,90,18,97,67,97,29,97,97,97,97,91,3,18,64,29
"Spain",0,0,0,0,0,0,0,0,24,76,76,0,17,0,24,0,24,0,24,24,27,24,18,0,0,0,0
"France",0,0,0,0,0,0,0,0,26,0,0,68,33,89,26,62,26,100,26,26,26,26,32,74,89,65,100
"Croatia",0,0,0,0,0,0,0,0,0,0,0,58,93,15,100,64,100,26,100,100,97,100,94,0,15,61,26
"Italy",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,65,57,58,94,58,68,58,58,58,58,64,42,57,97,68
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,22,93,71,93,33,93,93,90,93,99,7,22,68,33
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,51,15,89,15,15,15,15,21,85,100,54,89
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,100,26,100,100,97,100,94,0,15,61,26
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,62,64,64,64,64,70,36,51,97,62
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,100,100,97,100,94,0,15,61,26
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,26,32,74,89,65,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,97,100,94,0,15,61,26
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,100,94,0,15,61,26
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,91,0,15,61,26
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,15,61,26
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,67,32
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,39,74
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,89
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
