"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,44,60,59,57,100,44,0,59,44,0,0,97,60,57,54,79,44,59,54,44,44,60,46,57,100,59
"Bulgaria",0,0,84,3,1,44,100,34,3,100,10,10,41,84,1,90,65,100,3,90,100,100,84,0,1,44,3
"Czechia",0,0,0,19,17,60,84,18,19,84,0,0,57,100,17,94,81,84,19,94,84,84,100,6,17,60,19
"Denmark",0,0,0,0,98,59,3,0,100,3,0,0,62,19,98,13,38,3,100,13,3,3,19,87,98,59,100
"Germany",0,0,0,0,0,57,1,0,98,1,0,0,60,17,100,11,36,1,98,11,1,1,17,89,100,57,98
"Estonia",0,0,0,0,0,0,44,0,59,44,0,0,97,60,57,54,79,44,59,54,44,44,60,46,57,100,59
"Ireland",0,0,0,0,0,0,0,34,3,100,10,10,41,84,1,90,65,100,3,90,100,100,84,0,1,44,3
"Spain",0,0,0,0,0,0,0,0,0,34,76,76,0,18,0,24,11,34,0,24,34,34,18,0,0,0,0
"France",0,0,0,0,0,0,0,0,0,3,0,0,62,19,98,13,38,3,100,13,3,3,19,87,98,59,100
"Croatia",0,0,0,0,0,0,0,0,0,0,10,10,41,84,1,90,65,100,3,90,100,100,84,0,1,44,3
"Italy",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,10,0,0,10,10,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,10,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,57,60,51,76,41,62,51,41,41,57,49,60,97,62
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,94,81,84,19,94,84,84,100,6,17,60,19
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,36,1,98,11,1,1,17,89,100,57,98
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,90,13,100,90,90,94,0,11,54,13
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,38,75,65,65,81,25,36,79,38
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,90,100,100,84,0,1,44,3
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,19,87,98,59,100
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90,94,0,11,54,13
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,84,0,1,44,3
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,1,44,3
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,60,19
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,46,87
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,98
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
