"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,36,61,65,65,100,40,1,65,36,0,0,97,61,65,48,91,37,65,36,36,36,61,53,63,100,65
"Bulgaria",0,0,75,1,1,36,96,40,1,100,12,12,33,75,1,88,45,99,1,100,96,100,75,1,1,36,1
"Czechia",0,0,0,26,26,61,71,15,26,75,0,0,58,100,26,87,70,76,26,75,71,75,100,14,24,61,26
"Denmark",0,0,0,0,100,65,5,1,100,1,0,0,68,26,100,13,56,2,100,1,1,1,26,88,98,65,100
"Germany",0,0,0,0,0,65,5,1,100,1,0,0,68,26,100,13,56,2,100,1,1,1,26,88,98,65,100
"Estonia",0,0,0,0,0,0,40,1,65,36,0,0,97,61,65,48,91,37,65,36,36,36,61,53,63,100,65
"Ireland",0,0,0,0,0,0,0,40,5,96,12,12,37,71,5,84,49,95,5,96,96,96,71,5,5,40,5
"Spain",0,0,0,0,0,0,0,0,1,40,72,72,1,15,1,28,1,39,1,40,44,40,15,1,1,1,1
"France",0,0,0,0,0,0,0,0,0,1,0,0,68,26,100,13,56,2,100,1,1,1,26,88,98,65,100
"Croatia",0,0,0,0,0,0,0,0,0,0,12,12,33,75,1,88,45,99,1,100,96,100,75,1,1,36,1
"Italy",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,11,0,12,16,12,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,12,16,12,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,58,68,45,88,34,68,33,33,33,58,56,66,97,68
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,87,70,76,26,75,71,75,100,14,24,61,26
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,56,2,100,1,1,1,26,88,98,65,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,89,13,88,84,88,87,1,11,48,13
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,56,45,45,45,70,44,54,91,56
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,95,99,76,1,2,37,2
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,26,88,98,65,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,100,75,1,1,36,1
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,71,1,1,36,1
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,1,36,1
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,61,26
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,53,88
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,98
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
