"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,53,57,58,55,99,59,0,58,53,0,0,97,64,55,53,84,53,58,53,53,53,64,48,55,100,58
"Bulgaria",0,0,96,11,8,52,94,20,11,100,0,0,50,89,8,100,69,100,11,100,100,100,89,1,8,53,11
"Czechia",0,0,0,15,12,56,90,16,15,96,0,0,54,93,12,96,73,96,15,96,96,96,93,5,12,57,15
"Denmark",0,0,0,0,97,59,17,0,100,11,0,0,61,22,97,11,42,11,100,11,11,11,22,90,97,58,100
"Germany",0,0,0,0,0,56,14,0,97,8,0,0,58,19,100,8,39,8,97,8,8,8,19,93,100,55,97
"Estonia",0,0,0,0,0,0,58,0,59,52,0,0,98,63,56,52,83,52,59,52,52,52,63,49,56,99,59
"Ireland",0,0,0,0,0,0,0,20,17,94,0,0,56,95,14,94,75,94,17,94,94,94,95,7,14,59,17
"Spain",0,0,0,0,0,0,0,0,0,20,80,79,0,15,0,20,12,20,0,20,20,20,15,0,0,0,0
"France",0,0,0,0,0,0,0,0,0,11,0,0,61,22,97,11,42,11,100,11,11,11,22,90,97,58,100
"Croatia",0,0,0,0,0,0,0,0,0,0,0,0,50,89,8,100,69,100,11,100,100,100,89,1,8,53,11
"Italy",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,61,58,50,81,50,61,50,50,50,61,51,58,97,61
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,89,80,89,22,89,89,89,100,12,19,64,22
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,39,8,97,8,8,8,19,93,100,55,97
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,100,11,100,100,100,89,1,8,53,11
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,42,69,69,69,80,32,39,84,42
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,100,100,100,89,1,8,53,11
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,22,90,97,58,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,89,1,8,53,11
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,89,1,8,53,11
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,1,8,53,11
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,19,64,22
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,48,90
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,97
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
