"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,48,56,69,63,100,48,0,69,48,0,0,99,56,63,48,71,48,69,48,48,48,56,52,63,100,69
"Bulgaria",0,0,92,17,11,48,100,26,17,100,0,0,47,92,11,100,77,100,17,100,100,100,92,0,11,48,17
"Czechia",0,0,0,25,19,56,92,18,25,92,0,0,55,100,19,92,85,92,25,92,92,92,100,8,19,56,25
"Denmark",0,0,0,0,94,69,17,0,100,17,0,0,70,25,94,17,40,17,100,17,17,17,25,83,94,69,100
"Germany",0,0,0,0,0,63,11,0,94,11,0,0,64,19,100,11,34,11,94,11,11,11,19,89,100,63,94
"Estonia",0,0,0,0,0,0,48,0,69,48,0,0,99,56,63,48,71,48,69,48,48,48,56,52,63,100,69
"Ireland",0,0,0,0,0,0,0,26,17,100,0,0,47,92,11,100,77,100,17,100,100,100,92,0,11,48,17
"Spain",0,0,0,0,0,0,0,0,0,26,74,74,0,18,0,26,12,26,0,26,26,26,18,0,0,0,0
"France",0,0,0,0,0,0,0,0,0,17,0,0,70,25,94,17,40,17,100,17,17,17,25,83,94,69,100
"Croatia",0,0,0,0,0,0,0,0,0,0,0,0,47,92,11,100,77,100,17,100,100,100,92,0,11,48,17
"Italy",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,55,64,47,70,47,70,47,47,47,55,53,64,99,70
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,92,85,92,25,92,92,92,100,8,19,56,25
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,34,11,94,11,11,11,19,89,100,63,94
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,100,17,100,100,100,92,0,11,48,17
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,40,77,77,77,85,23,34,71,40
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,100,100,100,92,0,11,48,17
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,25,83,94,69,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,92,0,11,48,17
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,92,0,11,48,17
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,11,48,17
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,56,25
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,52,83
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,94
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
