"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Finland","Sweden","Iceland","Norway"
"Belgium",0,34,53,68,68,100,34,1,68,34,0,0,68,54,68,49,96,34,68,34,36,34,34,52,67,100,68
"Bulgaria",0,0,81,2,2,34,100,37,2,100,15,15,2,80,2,85,38,100,2,100,98,100,100,1,2,34,2
"Czechia",0,0,0,21,21,53,81,18,21,81,0,0,21,99,21,96,57,81,21,81,83,81,81,5,20,53,21
"Denmark",0,0,0,0,100,68,2,1,100,2,0,0,100,22,100,17,64,2,100,2,4,2,2,84,99,68,100
"Germany",0,0,0,0,0,68,2,1,100,2,0,0,100,22,100,17,64,2,100,2,4,2,2,84,99,68,100
"Estonia",0,0,0,0,0,0,34,1,68,34,0,0,68,54,68,49,96,34,68,34,36,34,34,52,67,100,68
"Ireland",0,0,0,0,0,0,0,37,2,100,15,15,2,80,2,85,38,100,2,100,98,100,100,1,2,34,2
"Spain",0,0,0,0,0,0,0,0,1,37,78,78,1,17,1,22,1,37,1,37,35,37,37,1,1,1,1
"France",0,0,0,0,0,0,0,0,0,2,0,0,100,22,100,17,64,2,100,2,4,2,2,84,99,68,100
"Croatia",0,0,0,0,0,0,0,0,0,0,15,15,2,80,2,85,38,100,2,100,98,100,100,1,2,34,2
"Italy",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,15,0,15,13,15,15,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,13,15,15,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,22,100,17,64,2,100,2,4,2,2,84,99,68,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,95,58,80,22,80,82,80,80,6,21,54,22
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,64,2,100,2,4,2,2,84,99,68,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,85,17,85,87,85,85,1,16,49,17
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,64,38,40,38,38,48,63,96,64
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,98,100,100,1,2,34,2
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,2,84,99,68,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,100,100,1,2,34,2
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,1,4,36,4
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1,2,34,2
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,34,2
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,52,84
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,99
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
