"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Sweden","Iceland","Norway"
"Belgium",0,3,34,100,100,100,3,2,99,3,0,0,100,100,100,4,100,3,100,3,3,2,3,34,100,100,100
"Bulgaria",0,0,69,3,3,3,100,24,3,100,1,1,3,3,3,99,3,100,3,100,100,99,100,69,3,3,3
"Czechia",0,0,0,34,34,34,69,2,33,69,0,0,34,34,34,70,34,69,34,69,69,68,69,100,34,34,34
"Denmark",0,0,0,0,100,100,3,2,99,3,0,0,100,100,100,4,100,3,100,3,3,2,3,34,100,100,100
"Germany",0,0,0,0,0,100,3,2,99,3,0,0,100,100,100,4,100,3,100,3,3,2,3,34,100,100,100
"Estonia",0,0,0,0,0,0,3,2,99,3,0,0,100,100,100,4,100,3,100,3,3,2,3,34,100,100,100
"Ireland",0,0,0,0,0,0,0,24,3,100,1,1,3,3,3,99,3,100,3,100,100,99,100,69,3,3,3
"Spain",0,0,0,0,0,0,0,0,2,24,77,76,2,2,2,23,2,24,2,24,24,25,24,2,2,2,2
"France",0,0,0,0,0,0,0,0,0,3,0,0,99,99,99,3,99,3,99,3,3,2,3,33,99,99,99
"Croatia",0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,99,3,100,3,100,100,99,100,69,3,3,3
"Italy",0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,1,0,1,1,2,1,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,4,100,3,100,3,3,2,3,34,100,100,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,4,100,3,100,3,3,2,3,34,100,100,100
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,3,100,3,3,2,3,34,100,100,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,99,4,99,99,98,99,70,4,4,4
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,3,3,2,3,34,100,100,100
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,99,100,69,3,3,3
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,3,34,100,100,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,99,100,69,3,3,3
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,100,69,3,3,3
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,68,2,2,2
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,3,3
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
