"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Iceland","Norway"
"Belgium",0,49,73,56,56,100,49,3,56,49,0,0,96,73,56,55,92,49,56,49,55,48,49,73,50,100,56
"Bulgaria",0,0,76,5,5,49,100,23,5,100,6,6,45,76,5,94,57,100,5,100,94,99,100,76,5,49,5
"Czechia",0,0,0,29,29,73,76,9,29,76,0,0,69,100,29,82,81,76,29,76,82,75,76,100,23,73,29
"Denmark",0,0,0,0,100,56,5,3,100,5,0,0,60,29,100,11,48,5,100,5,11,4,5,29,94,56,100
"Germany",0,0,0,0,0,56,5,3,100,5,0,0,60,29,100,11,48,5,100,5,11,4,5,29,94,56,100
"Estonia",0,0,0,0,0,0,49,3,56,49,0,0,96,73,56,55,92,49,56,49,55,48,49,73,50,100,56
"Ireland",0,0,0,0,0,0,0,23,5,100,6,6,45,76,5,94,57,100,5,100,94,99,100,76,5,49,5
"Spain",0,0,0,0,0,0,0,0,3,23,83,81,3,9,3,17,3,23,3,23,17,24,23,9,3,3,3
"France",0,0,0,0,0,0,0,0,0,5,0,0,60,29,100,11,48,5,100,5,11,4,5,29,94,56,100
"Croatia",0,0,0,0,0,0,0,0,0,0,6,6,45,76,5,94,57,100,5,100,94,99,100,76,5,49,5
"Italy",0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,6,0,6,0,7,6,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,6,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,69,60,51,88,45,60,45,51,44,45,69,54,96,60
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,82,81,76,29,76,82,75,76,100,23,73,29
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,48,5,100,5,11,4,5,29,94,56,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,94,11,94,100,93,94,82,5,55,11
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,48,57,63,56,57,81,42,92,48
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,94,99,100,76,5,49,5
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,4,5,29,94,56,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,99,100,76,5,49,5
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,94,82,5,55,11
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,75,4,48,4
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,5,49,5
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,73,29
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,94
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
