"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Norway"
"Belgium",0,3,17,100,100,100,3,1,100,3,0,0,100,17,100,7,23,3,100,3,4,2,3,17,95,100,100
"Bulgaria",0,0,86,3,3,3,100,28,3,100,4,4,3,86,3,96,80,100,3,100,99,99,100,86,2,3,3
"Czechia",0,0,0,17,17,17,86,14,17,86,0,0,17,100,17,90,94,86,17,86,87,85,86,100,12,17,17
"Denmark",0,0,0,0,100,100,3,1,100,3,0,0,100,17,100,7,23,3,100,3,4,2,3,17,95,100,100
"Germany",0,0,0,0,0,100,3,1,100,3,0,0,100,17,100,7,23,3,100,3,4,2,3,17,95,100,100
"Estonia",0,0,0,0,0,0,3,1,100,3,0,0,100,17,100,7,23,3,100,3,4,2,3,17,95,100,100
"Ireland",0,0,0,0,0,0,0,28,3,100,4,4,3,86,3,96,80,100,3,100,99,99,100,86,2,3,3
"Spain",0,0,0,0,0,0,0,0,1,28,76,75,1,14,1,24,8,28,1,28,27,29,28,14,1,1,1
"France",0,0,0,0,0,0,0,0,0,3,0,0,100,17,100,7,23,3,100,3,4,2,3,17,95,100,100
"Croatia",0,0,0,0,0,0,0,0,0,0,4,4,3,86,3,96,80,100,3,100,99,99,100,86,2,3,3
"Italy",0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,4,0,4,3,5,4,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,4,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,17,100,7,23,3,100,3,4,2,3,17,95,100,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,90,94,86,17,86,87,85,86,100,12,17,17
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,23,3,100,3,4,2,3,17,95,100,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,96,7,96,97,95,96,90,2,7,7
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,23,80,81,79,80,94,18,23,23
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,99,99,100,86,2,3,3
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3,17,95,100,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,100,86,2,3,3
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,99,87,2,4,4
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,85,1,2,2
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,2,3,3
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,17
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
