"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland"
"Belgium",0,40,63,63,63,100,40,1,63,40,0,0,100,63,63,54,94,40,63,40,54,38,40,63,49,63,100
"Bulgaria",0,0,77,3,3,40,100,39,3,100,14,14,40,77,3,86,46,100,3,100,86,98,100,77,3,3,40
"Czechia",0,0,0,26,26,63,77,16,26,77,0,0,63,100,26,91,69,77,26,77,91,75,77,100,12,26,63
"Denmark",0,0,0,0,100,63,3,1,100,3,0,0,63,26,100,17,57,3,100,3,17,1,3,26,86,100,63
"Germany",0,0,0,0,0,63,3,1,100,3,0,0,63,26,100,17,57,3,100,3,17,1,3,26,86,100,63
"Estonia",0,0,0,0,0,0,40,1,63,40,0,0,100,63,63,54,94,40,63,40,54,38,40,63,49,63,100
"Ireland",0,0,0,0,0,0,0,39,3,100,14,14,40,77,3,86,46,100,3,100,86,98,100,77,3,3,40
"Spain",0,0,0,0,0,0,0,0,1,39,75,73,1,16,1,25,1,39,1,39,25,41,39,16,1,1,1
"France",0,0,0,0,0,0,0,0,0,3,0,0,63,26,100,17,57,3,100,3,17,1,3,26,86,100,63
"Croatia",0,0,0,0,0,0,0,0,0,0,14,14,40,77,3,86,46,100,3,100,86,98,100,77,3,3,40
"Italy",0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,14,0,14,0,16,14,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,0,14,14,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,54,94,40,63,40,54,38,40,63,49,63,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,91,69,77,26,77,91,75,77,100,12,26,63
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,57,3,100,3,17,1,3,26,86,100,63
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,86,17,86,100,84,86,91,3,17,54
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,57,46,60,44,46,69,43,57,94
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,86,98,100,77,3,3,40
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,1,3,26,86,100,63
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,98,100,77,3,3,40
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,86,91,3,17,54
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,75,1,1,38
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,3,3,40
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,63
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,49
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
