"","Belgium","Bulgaria","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,42,58,58,100,42,0,58,42,0,0,58,60,58,48,92,42,58,42,42,42,42,60,52,58,100,58
"Bulgaria",0,0,0,0,42,100,31,0,100,6,6,0,82,0,94,50,100,0,100,100,100,100,82,0,0,42,0
"Denmark",0,0,0,100,58,0,0,100,0,0,0,100,18,100,6,50,0,100,0,0,0,0,18,94,100,58,100
"Germany",0,0,0,0,58,0,0,100,0,0,0,100,18,100,6,50,0,100,0,0,0,0,18,94,100,58,100
"Estonia",0,0,0,0,0,42,0,58,42,0,0,58,60,58,48,92,42,58,42,42,42,42,60,52,58,100,58
"Ireland",0,0,0,0,0,0,31,0,100,6,6,0,82,0,94,50,100,0,100,100,100,100,82,0,0,42,0
"Spain",0,0,0,0,0,0,0,0,31,75,75,0,13,0,25,0,31,0,31,31,31,31,13,0,0,0,0
"France",0,0,0,0,0,0,0,0,0,0,0,100,18,100,6,50,0,100,0,0,0,0,18,94,100,58,100
"Croatia",0,0,0,0,0,0,0,0,0,6,6,0,82,0,94,50,100,0,100,100,100,100,82,0,0,42,0
"Italy",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,6,0,6,6,6,6,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,6,6,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,18,100,6,50,0,100,0,0,0,0,18,94,100,58,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,18,88,68,82,18,82,82,82,82,100,12,18,60,18
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,50,0,100,0,0,0,0,18,94,100,58,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,94,6,94,94,94,94,88,0,6,48,6
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,68,44,50,92,50
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,82,0,0,42,0
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,94,100,58,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,82,0,0,42,0
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,82,0,0,42,0
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,82,0,0,42,0
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,42,0
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,60,18
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,52,94
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
