"","Belgium","Bulgaria","Czechia","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,44,63,59,100,44,3,60,44,0,0,97,63,59,53,85,44,59,44,44,44,44,63,49,59,100,59
"Bulgaria",0,0,81,3,44,100,33,4,100,9,9,41,81,3,91,59,100,3,100,100,100,100,81,2,3,44,3
"Czechia",0,0,0,22,63,81,14,23,81,0,0,60,100,22,90,78,81,22,81,81,81,81,100,12,22,63,22
"Germany",0,0,0,0,59,3,2,99,3,0,0,62,22,100,12,44,3,100,3,3,3,3,22,90,100,59,100
"Estonia",0,0,0,0,0,44,3,60,44,0,0,97,63,59,53,85,44,59,44,44,44,44,63,49,59,100,59
"Ireland",0,0,0,0,0,0,33,4,100,9,9,41,81,3,91,59,100,3,100,100,100,100,81,2,3,44,3
"Spain",0,0,0,0,0,0,0,3,33,76,76,3,14,2,24,13,33,2,33,33,33,33,14,2,2,3,2
"France",0,0,0,0,0,0,0,0,4,0,0,63,23,99,13,45,4,99,4,4,4,4,23,89,99,60,99
"Croatia",0,0,0,0,0,0,0,0,0,9,9,41,81,3,91,59,100,3,100,100,100,100,81,2,3,44,3
"Italy",0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,9,0,9,9,9,9,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,9,9,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,60,62,50,82,41,62,41,41,41,41,60,52,62,97,62
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,22,90,78,81,22,81,81,81,81,100,12,22,63,22
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,44,3,100,3,3,3,3,22,90,100,59,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,91,12,91,91,91,91,90,2,12,53,12
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,44,59,59,59,59,78,34,44,85,44
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,100,100,81,2,3,44,3
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,22,90,100,59,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,81,2,3,44,3
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,81,2,3,44,3
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,81,2,3,44,3
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,2,3,44,3
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,63,22
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,49,90
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
