"","Belgium","Bulgaria","Czechia","Denmark","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,56,68,65,100,56,1,65,56,0,0,65,70,47,60,98,56,65,56,60,55,56,68,43,47,100,65
"Bulgaria",0,0,88,21,56,100,22,21,100,4,4,21,86,3,96,58,100,21,100,96,99,100,88,3,3,56,21
"Czechia",0,0,0,33,68,88,10,33,88,0,0,33,98,15,92,70,88,33,88,92,87,88,100,11,15,68,33
"Denmark",0,0,0,0,65,21,1,100,21,0,0,100,35,82,25,63,21,100,21,25,20,21,33,78,82,65,100
"Estonia",0,0,0,0,0,56,1,65,56,0,0,65,70,47,60,98,56,65,56,60,55,56,68,43,47,100,65
"Ireland",0,0,0,0,0,0,22,21,100,4,4,21,86,3,96,58,100,21,100,96,99,100,88,3,3,56,21
"Spain",0,0,0,0,0,0,0,1,22,82,80,1,8,1,18,1,22,1,22,18,23,22,10,1,1,1,1
"France",0,0,0,0,0,0,0,0,21,0,0,100,35,82,25,63,21,100,21,25,20,21,33,78,82,65,100
"Croatia",0,0,0,0,0,0,0,0,0,4,4,21,86,3,96,58,100,21,100,96,99,100,88,3,3,56,21
"Italy",0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,4,0,4,0,5,4,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,4,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,35,82,25,63,21,100,21,25,20,21,33,78,82,65,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,17,90,72,86,35,86,90,85,86,98,13,17,70,35
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,3,82,3,7,2,3,15,96,100,47,82
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,96,25,96,100,95,96,92,3,7,60,25
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,63,58,62,57,58,70,41,45,98,63
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,100,96,99,100,88,3,3,56,21
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,25,20,21,33,78,82,65,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,99,100,88,3,3,56,21
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,96,92,3,7,60,25
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,87,2,2,55,20
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,3,3,56,21
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,68,33
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,43,78
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,82
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
