"","Belgium","Bulgaria","Czechia","Denmark","Germany","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,43,59,56,56,44,0,56,43,0,0,57,60,56,51,80,43,56,43,44,43,43,59,48,56,100,57
"Bulgaria",0,0,84,1,1,99,28,1,99,8,8,0,83,1,92,63,100,1,100,99,99,99,84,1,1,43,0
"Czechia",0,0,0,17,17,83,12,17,83,0,0,16,99,17,92,79,84,17,84,85,83,83,100,9,17,59,16
"Denmark",0,0,0,0,100,0,0,100,0,0,0,99,16,100,9,36,1,100,1,2,0,0,17,92,100,56,99
"Germany",0,0,0,0,0,0,0,100,0,0,0,99,16,100,9,36,1,100,1,2,0,0,17,92,100,56,99
"Ireland",0,0,0,0,0,0,28,0,99,8,8,1,84,0,91,64,99,0,99,98,99,99,83,0,0,44,1
"Spain",0,0,0,0,0,0,0,0,29,80,80,0,12,0,20,7,28,0,28,27,29,29,12,0,0,0,0
"France",0,0,0,0,0,0,0,0,0,0,0,99,16,100,9,36,1,100,1,2,0,0,17,92,100,56,99
"Croatia",0,0,0,0,0,0,0,0,0,9,9,0,83,0,91,63,99,0,99,98,100,100,83,0,0,43,0
"Italy",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,8,0,8,7,9,9,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,7,9,9,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,17,99,8,37,0,99,0,1,0,0,16,91,99,57,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,16,91,80,83,16,83,84,83,83,99,8,16,60,17
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,36,1,100,1,2,0,0,17,92,100,56,99
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,92,9,92,93,91,91,92,1,9,51,8
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,36,63,64,63,63,79,28,36,80,37
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,99,99,99,84,1,1,43,0
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,17,92,100,56,99
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,84,1,1,43,0
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,85,1,2,44,1
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,83,0,0,43,0
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,43,0
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,59,16
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,48,91
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,99
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
