"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,61,68,61,52,100,1,61,50,0,0,96,68,52,61,93,61,61,61,61,20,50,68,41,52,98,61
"Bulgaria",0,0,93,22,13,61,18,22,89,0,0,57,93,13,100,68,100,22,100,100,51,89,93,2,13,63,22
"Czechia",0,0,0,29,20,68,11,29,82,0,0,64,100,20,93,75,93,29,93,93,44,82,100,9,20,70,29
"Denmark",0,0,0,0,91,61,1,100,11,0,0,65,29,91,22,54,22,100,22,22,1,11,29,80,91,59,100
"Germany",0,0,0,0,0,52,1,91,2,0,0,56,20,100,13,45,13,91,13,13,1,2,20,89,100,50,91
"Estonia",0,0,0,0,0,0,1,61,50,0,0,96,68,52,61,93,61,61,61,61,20,50,68,41,52,98,61
"Spain",0,0,0,0,0,0,0,1,29,82,81,1,11,1,18,1,18,1,18,18,67,29,11,1,1,1,1
"France",0,0,0,0,0,0,0,0,11,0,0,65,29,91,22,54,22,100,22,22,1,11,29,80,91,59,100
"Croatia",0,0,0,0,0,0,0,0,0,11,11,46,82,2,89,57,89,11,89,89,62,100,82,2,2,52,11
"Italy",0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,49,11,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,11,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,64,56,57,89,57,65,57,57,20,46,64,45,56,94,65
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,20,93,75,93,29,93,93,44,82,100,9,20,70,29
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,45,13,91,13,13,1,2,20,89,100,50,91
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,100,22,100,100,51,89,93,2,13,63,22
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,54,68,68,22,57,75,34,45,95,54
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,100,100,51,89,93,2,13,63,22
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,1,11,29,80,91,59,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,51,89,93,2,13,63,22
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,89,93,2,13,63,22
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,44,1,1,20,1
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,2,2,52,11
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,70,29
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,39,80
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,91
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
