"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,57,63,49,49,100,57,49,57,0,0,49,63,49,63,85,57,49,57,57,57,57,63,38,49,100,49
"Bulgaria",0,0,94,6,6,57,100,6,100,6,6,6,94,6,94,72,100,6,100,100,100,100,94,1,6,57,6
"Czechia",0,0,0,12,12,63,94,12,94,0,0,12,100,12,100,78,94,12,94,94,94,94,100,1,12,63,12
"Denmark",0,0,0,0,100,49,6,100,6,0,0,100,12,100,12,34,6,100,6,6,6,6,12,89,100,49,100
"Germany",0,0,0,0,0,49,6,100,6,0,0,100,12,100,12,34,6,100,6,6,6,6,12,89,100,49,100
"Estonia",0,0,0,0,0,0,57,49,57,0,0,49,63,49,63,85,57,49,57,57,57,57,63,38,49,100,49
"Ireland",0,0,0,0,0,0,0,6,100,6,6,6,94,6,94,72,100,6,100,100,100,100,94,1,6,57,6
"France",0,0,0,0,0,0,0,0,6,0,0,100,12,100,12,34,6,100,6,6,6,6,12,89,100,49,100
"Croatia",0,0,0,0,0,0,0,0,0,6,6,6,94,6,94,72,100,6,100,100,100,100,94,1,6,57,6
"Italy",0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,6,0,6,6,6,6,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,6,6,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,12,100,12,34,6,100,6,6,6,6,12,89,100,49,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,78,94,12,94,94,94,94,100,1,12,63,12
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,6,100,6,6,6,6,12,89,100,49,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,94,12,94,94,94,94,100,1,12,63,12
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,34,72,72,72,72,78,23,34,85,34
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,100,100,100,100,94,1,6,57,6
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,12,89,100,49,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,94,1,6,57,6
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,94,1,6,57,6
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,94,1,6,57,6
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,1,6,57,6
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,63,12
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,38,89
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
