"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,40,59,64,64,100,40,0,40,0,0,97,59,64,47,91,40,64,40,41,39,40,59,55,64,100,64
"Bulgaria",0,0,81,4,4,40,100,30,100,7,7,37,81,4,93,49,100,4,100,99,99,100,81,2,4,40,4
"Czechia",0,0,0,23,23,59,81,11,81,0,0,56,100,23,88,68,81,23,81,82,80,81,100,14,23,59,23
"Denmark",0,0,0,0,100,64,4,0,4,0,0,67,23,100,11,55,4,100,4,5,3,4,23,91,100,64,100
"Germany",0,0,0,0,0,64,4,0,4,0,0,67,23,100,11,55,4,100,4,5,3,4,23,91,100,64,100
"Estonia",0,0,0,0,0,0,40,0,40,0,0,97,59,64,47,91,40,64,40,41,39,40,59,55,64,100,64
"Ireland",0,0,0,0,0,0,0,30,100,7,7,37,81,4,93,49,100,4,100,99,99,100,81,2,4,40,4
"Spain",0,0,0,0,0,0,0,0,30,77,75,0,11,0,23,0,30,0,30,29,31,30,11,0,0,0,0
"Croatia",0,0,0,0,0,0,0,0,0,7,7,37,81,4,93,49,100,4,100,99,99,100,81,2,4,40,4
"Italy",0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,7,0,7,6,8,7,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,6,7,7,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,56,67,44,88,37,67,37,38,36,37,56,58,67,97,67
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,23,88,68,81,23,81,82,80,81,100,14,23,59,23
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,55,4,100,4,5,3,4,23,91,100,64,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,93,11,93,94,92,93,88,2,11,47,11
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,55,49,50,48,49,68,46,55,91,55
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,99,99,100,81,2,4,40,4
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,3,4,23,91,100,64,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,100,81,2,4,40,4
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,99,82,2,5,41,5
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,80,1,3,39,3
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,2,4,40,4
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,23,59,23
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,55,91
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
