"","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Bulgaria",0,68,0,0,0,87,39,0,100,8,8,0,67,0,92,53,100,0,100,100,88,100,67,0,0,0,0,97
"Czechia",0,0,32,31,32,75,17,32,68,0,0,32,99,32,76,85,68,32,68,68,65,68,99,27,30,32,32,68
"Denmark",0,0,0,99,100,13,0,100,0,0,0,100,33,100,8,47,0,100,0,0,0,0,33,95,98,100,100,0
"Germany",0,0,0,0,99,13,0,99,0,0,0,99,32,99,7,46,0,99,0,0,0,0,32,96,99,99,99,0
"Estonia",0,0,0,0,0,13,0,100,0,0,0,100,33,100,8,47,0,100,0,0,0,0,33,95,98,100,100,0
"Ireland",0,0,0,0,0,0,39,13,87,8,8,13,74,13,79,66,87,13,87,87,87,87,74,13,13,13,13,84
"Spain",0,0,0,0,0,0,0,0,39,69,69,0,16,0,31,10,39,0,39,39,51,39,16,0,0,0,0,36
"France",0,0,0,0,0,0,0,0,0,0,0,100,33,100,8,47,0,100,0,0,0,0,33,95,98,100,100,0
"Croatia",0,0,0,0,0,0,0,0,0,8,8,0,67,0,92,53,100,0,100,100,88,100,67,0,0,0,0,97
"Italy",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,8,0,8,8,20,8,0,0,0,0,0,5
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,20,8,0,0,0,0,0,5
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,33,100,8,47,0,100,0,0,0,0,33,95,98,100,100,0
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,33,75,86,67,33,67,67,64,67,100,28,31,33,33,67
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,47,0,100,0,0,0,0,33,95,98,100,100,0
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,92,8,92,92,80,92,75,3,6,8,8,92
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,47,53,53,53,53,86,42,45,47,47,53
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,88,100,67,0,0,0,0,97
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,95,98,100,100,0
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,88,100,67,0,0,0,0,97
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,100,67,0,0,0,0,97
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,64,0,0,0,0,85
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,97
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,31,33,33,67
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,95,95,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
