"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,43,67,64,61,100,65,1,64,0,0,99,69,61,50,96,43,64,43,43,39,42,71,52,61,100,64,43
"Bulgaria",0,0,76,7,4,43,78,27,7,7,7,42,74,4,93,47,100,7,100,100,77,99,72,2,4,43,7,100
"Czechia",0,0,0,31,28,67,82,17,31,0,0,66,98,28,83,71,76,31,76,76,64,75,96,19,28,67,31,76
"Denmark",0,0,0,0,97,64,29,1,100,0,0,65,33,97,14,60,7,100,7,7,3,6,35,88,97,64,100,7
"Germany",0,0,0,0,0,61,26,1,97,0,0,62,30,100,11,57,4,97,4,4,3,3,32,91,100,61,97,4
"Estonia",0,0,0,0,0,0,65,1,64,0,0,99,69,61,50,96,43,64,43,43,39,42,71,52,61,100,64,43
"Ireland",0,0,0,0,0,0,0,27,29,7,7,64,80,26,71,69,78,29,78,78,74,77,80,24,26,65,29,78
"Spain",0,0,0,0,0,0,0,0,1,80,79,1,15,1,20,1,27,1,27,27,50,28,14,1,1,1,1,27
"France",0,0,0,0,0,0,0,0,0,0,0,65,33,97,14,60,7,100,7,7,3,6,35,88,97,64,100,7
"Italy",0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,7,0,7,7,30,8,0,0,0,0,0,7
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,29,7,0,0,0,0,0,7
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,68,62,49,95,42,65,42,42,38,41,70,53,62,99,65,42
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,30,81,73,74,33,74,74,62,73,98,21,30,69,33,74
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,57,4,97,4,4,3,3,32,91,100,61,97,4
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,93,14,93,93,70,92,79,2,11,50,14,93
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,60,47,47,43,46,75,48,57,96,60,47
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,100,100,77,99,72,2,4,43,7,100
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,3,6,35,88,97,64,100,7
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,77,99,72,2,4,43,7,100
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,99,72,2,4,43,7,100
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,61,1,3,39,3,77
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,3,42,6,99
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,32,71,35,72
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,52,88,2
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,97,4
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,43
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
