"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,24,88,75,54,100,23,1,58,24,0,98,88,55,54,97,24,73,24,29,1,24,93,44,52,100,76,26
"Bulgaria",0,0,36,1,1,24,65,57,1,100,44,22,36,1,70,27,100,2,99,95,57,100,31,0,1,24,2,86
"Czechia",0,0,0,63,42,88,25,5,46,36,0,86,100,43,66,91,36,61,36,41,5,36,95,32,40,88,64,38
"Denmark",0,0,0,0,79,75,18,0,83,1,1,77,63,80,29,72,1,96,1,4,0,1,68,68,77,75,99,3
"Germany",0,0,0,0,0,54,18,0,96,1,1,56,42,99,8,51,1,81,1,1,0,1,47,89,98,54,78,1
"Estonia",0,0,0,0,0,0,23,1,58,24,0,98,88,55,54,97,24,73,24,29,1,24,93,44,52,100,76,26
"Ireland",0,0,0,0,0,0,0,75,18,65,62,23,25,18,35,26,65,19,64,60,75,65,30,17,18,23,19,51
"Spain",0,0,0,0,0,0,0,0,0,57,87,1,5,0,27,1,57,1,56,52,100,57,5,0,0,1,1,43
"France",0,0,0,0,0,0,0,0,0,1,1,60,46,97,12,55,1,85,1,1,0,1,51,85,94,58,82,1
"Croatia",0,0,0,0,0,0,0,0,0,0,44,22,36,1,70,27,100,2,99,95,57,100,31,0,1,24,2,86
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,44,0,43,39,87,44,0,0,1,0,0,30
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,86,57,52,95,22,75,22,27,1,22,91,46,54,98,78,24
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,43,66,91,36,61,36,41,5,36,95,32,40,88,64,38
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,52,1,82,1,1,0,1,48,88,97,55,79,1
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,70,27,69,75,27,70,61,3,6,54,30,63
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,70,27,32,1,27,96,41,49,97,73,29
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,95,57,100,31,0,1,24,2,86
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,66,71,79,73,97,2
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,56,99,31,0,1,24,2,87
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,95,36,0,1,29,5,85
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,5,0,0,1,1,43
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,1,24,2,86
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,45,93,69,33
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,44,68,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,76,1
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,26
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
