"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,17,77,82,50,100,71,0,62,11,0,100,78,50,59,96,18,77,17,51,0,11,87,42,50,100,82,17
"Bulgaria",0,0,40,1,0,17,36,57,1,94,45,17,39,0,58,21,99,1,100,66,60,94,30,0,0,17,1,96
"Czechia",0,0,0,59,27,77,76,8,39,34,0,77,99,27,82,81,41,54,40,74,10,34,90,19,27,77,59,40
"Denmark",0,0,0,0,68,82,60,0,80,0,0,82,60,68,41,78,2,95,1,33,0,0,69,60,68,82,100,1
"Germany",0,0,0,0,0,50,28,0,88,0,0,50,28,100,9,46,1,73,0,1,0,0,37,92,100,50,68,0
"Estonia",0,0,0,0,0,0,71,0,62,11,0,100,78,50,59,96,18,77,17,51,0,11,87,42,50,100,82,17
"Ireland",0,0,0,0,0,0,0,23,40,40,11,71,75,28,72,75,37,55,36,66,25,40,84,20,28,71,60,32
"Spain",0,0,0,0,0,0,0,0,0,63,88,0,8,0,15,0,56,0,57,23,97,63,8,0,0,0,0,53
"France",0,0,0,0,0,0,0,0,0,0,0,62,40,88,21,58,2,85,1,13,0,0,49,80,88,62,80,1
"Croatia",0,0,0,0,0,0,0,0,0,0,51,11,33,0,52,15,93,0,94,60,66,100,24,0,0,11,0,90
"Italy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,44,0,45,11,85,51,0,0,0,0,0,41
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,78,50,59,96,18,77,17,51,0,11,87,42,50,100,82,17
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,28,81,82,40,55,39,73,9,33,91,20,28,78,60,39
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,1,73,0,1,0,0,37,92,100,50,68,0
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,59,36,58,92,18,52,72,1,9,59,41,55
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,73,21,55,1,15,91,38,46,96,78,21
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,67,59,93,31,0,1,18,2,95
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,64,65,73,77,95,1
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,60,94,30,0,0,17,1,96
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,60,64,0,1,51,33,62
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,9,0,0,0,0,56
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,11,0,90
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,37,87,69,30
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,42,60,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,68,0
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,17
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
