"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,36,68,67,66,100,53,3,67,36,0,0,68,67,49,85,36,67,36,36,36,36,71,56,65,100,67,36
"Bulgaria",0,0,68,3,3,36,83,42,3,100,13,13,68,3,87,51,100,3,100,100,86,100,65,3,3,36,3,98
"Czechia",0,0,0,35,34,68,71,20,35,68,0,0,100,35,81,83,68,35,68,68,64,68,97,24,33,68,35,68
"Denmark",0,0,0,0,99,67,20,3,100,3,0,0,35,100,16,52,3,100,3,3,3,3,38,89,98,67,100,3
"Germany",0,0,0,0,0,66,20,3,99,3,0,0,34,99,15,51,3,99,3,3,3,3,37,90,99,66,99,3
"Estonia",0,0,0,0,0,0,53,3,67,36,0,0,68,67,49,85,36,67,36,36,36,36,71,56,65,100,67,36
"Ireland",0,0,0,0,0,0,0,42,20,83,13,13,71,20,70,68,83,20,83,83,83,83,74,20,20,53,20,81
"Spain",0,0,0,0,0,0,0,0,3,42,71,71,20,3,29,14,42,3,42,42,56,42,20,3,3,3,3,40
"France",0,0,0,0,0,0,0,0,0,3,0,0,35,100,16,52,3,100,3,3,3,3,38,89,98,67,100,3
"Croatia",0,0,0,0,0,0,0,0,0,0,13,13,68,3,87,51,100,3,100,100,86,100,65,3,3,36,3,98
"Italy",0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,13,0,13,13,27,13,0,0,0,0,0,11
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,13,27,13,0,0,0,0,0,11
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,35,81,83,68,35,68,68,64,68,97,24,33,68,35,68
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,52,3,100,3,3,3,3,38,89,98,67,100,3
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,87,16,87,87,73,87,78,5,14,49,16,87
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,52,51,51,51,51,86,41,50,85,52,51
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,86,100,65,3,3,36,3,98
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,38,89,98,67,100,3
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,86,100,65,3,3,36,3,98
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,100,65,3,3,36,3,98
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,63,3,3,36,3,84
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3,3,36,3,98
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,36,71,38,65
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,56,89,3
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,98,3
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,36
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
