"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,3,45,100,89,100,26,1,90,3,0,0,100,90,23,71,3,100,3,3,3,3,57,83,88,100,100,3
"Bulgaria",0,0,58,3,3,3,77,39,3,100,20,20,3,3,80,32,100,3,100,100,78,100,46,3,3,3,3,97
"Czechia",0,0,0,45,34,45,61,10,35,58,0,0,45,35,78,74,58,45,58,58,48,58,88,28,33,45,45,58
"Denmark",0,0,0,0,89,100,26,1,90,3,0,0,100,90,23,71,3,100,3,3,3,3,57,83,88,100,100,3
"Germany",0,0,0,0,0,89,26,1,99,3,0,0,89,99,12,60,3,89,3,3,3,3,46,94,99,89,89,3
"Estonia",0,0,0,0,0,0,26,1,90,3,0,0,100,90,23,71,3,100,3,3,3,3,57,83,88,100,100,3
"Ireland",0,0,0,0,0,0,0,39,26,77,20,20,26,26,57,55,77,26,77,77,77,77,69,26,26,26,26,74
"Spain",0,0,0,0,0,0,0,0,1,39,81,79,1,1,19,1,39,1,39,39,61,39,9,1,1,1,1,36
"France",0,0,0,0,0,0,0,0,0,3,0,0,90,100,13,61,3,90,3,3,3,3,47,93,98,90,90,3
"Croatia",0,0,0,0,0,0,0,0,0,0,20,20,3,3,80,32,100,3,100,100,78,100,46,3,3,3,3,97
"Italy",0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,20,0,20,20,42,20,0,0,0,0,0,17
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,20,42,20,0,0,0,0,0,17
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,90,23,71,3,100,3,3,3,3,57,83,88,100,100,3
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,61,3,90,3,3,3,3,47,93,98,90,90,3
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,80,23,80,80,58,80,66,6,11,23,23,80
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,71,32,32,32,32,86,54,59,71,71,32
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,78,100,46,3,3,3,3,97
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,57,83,88,100,100,3
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,78,100,46,3,3,3,3,97
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,100,46,3,3,3,3,97
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,46,3,3,3,3,75
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,3,3,3,3,97
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,45,57,57,46
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,83,83,3
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,88,3
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
