"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,40,87,75,62,100,63,1,75,40,0,0,75,88,54,97,40,75,40,40,28,40,88,51,62,100,75,40
"Bulgaria",0,0,53,15,2,40,77,34,15,100,14,14,15,52,86,43,100,15,100,100,68,100,52,2,2,40,15,97
"Czechia",0,0,0,62,49,87,76,10,62,53,0,0,62,99,67,90,53,62,53,53,41,53,99,38,49,87,62,53
"Denmark",0,0,0,0,87,75,38,1,100,15,0,0,100,63,29,72,15,100,15,15,3,15,63,76,87,75,100,15
"Germany",0,0,0,0,0,62,25,1,87,2,0,0,87,50,16,59,2,87,2,2,2,2,50,89,100,62,87,2
"Estonia",0,0,0,0,0,0,63,1,75,40,0,0,75,88,54,97,40,75,40,40,28,40,88,51,62,100,75,40
"Ireland",0,0,0,0,0,0,0,34,38,77,14,14,38,75,63,66,77,38,77,77,65,77,75,25,25,63,38,74
"Spain",0,0,0,0,0,0,0,0,1,34,80,79,1,10,20,1,34,1,34,34,66,34,10,1,1,1,1,31
"France",0,0,0,0,0,0,0,0,0,15,0,0,100,63,29,72,15,100,15,15,3,15,63,76,87,75,100,15
"Croatia",0,0,0,0,0,0,0,0,0,0,14,14,15,52,86,43,100,15,100,100,68,100,52,2,2,40,15,97
"Italy",0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,14,0,14,14,46,14,0,0,0,0,0,11
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,46,14,0,0,0,0,0,11
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,63,29,72,15,100,15,15,3,15,63,76,87,75,100,15
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,91,52,63,52,52,40,52,100,39,50,88,63,52
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,86,29,86,86,54,86,66,5,16,54,29,86
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,72,43,43,31,43,91,48,59,97,72,43
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,100,100,68,100,52,2,2,40,15,97
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,3,15,63,76,87,75,100,15
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,68,100,52,2,2,40,15,97
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,100,52,2,2,40,15,97
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,40,2,2,28,3,65
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,2,2,40,15,97
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,50,88,63,52
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,51,76,2
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,87,2
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,40
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
