"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,35,81,74,62,100,52,0,71,35,0,0,74,81,62,93,35,74,35,35,30,35,81,52,62,100,74,35
"Bulgaria",0,0,54,9,4,35,83,40,9,100,17,17,9,54,4,42,100,9,100,100,81,100,54,0,4,35,9,96
"Czechia",0,0,0,55,43,81,71,11,52,54,0,0,55,100,43,88,54,55,54,54,49,54,100,33,43,81,55,54
"Denmark",0,0,0,0,88,74,26,0,97,9,0,0,100,55,88,67,9,100,9,9,4,9,55,78,88,74,100,9
"Germany",0,0,0,0,0,62,21,0,91,4,0,0,88,43,100,55,4,88,4,4,4,4,43,90,100,62,88,4
"Estonia",0,0,0,0,0,0,52,0,71,35,0,0,74,81,62,93,35,74,35,35,30,35,81,52,62,100,74,35
"Ireland",0,0,0,0,0,0,0,40,26,83,17,17,26,71,21,59,83,26,83,83,78,83,71,17,21,52,26,79
"Spain",0,0,0,0,0,0,0,0,0,40,77,77,0,11,0,0,40,0,40,40,59,40,11,0,0,0,0,36
"France",0,0,0,0,0,0,0,0,0,9,0,0,97,52,91,64,9,97,9,9,4,9,52,81,91,71,97,9
"Croatia",0,0,0,0,0,0,0,0,0,0,17,17,9,54,4,42,100,9,100,100,81,100,54,0,4,35,9,96
"Italy",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,17,0,17,17,36,17,0,0,0,0,0,13
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,17,36,17,0,0,0,0,0,13
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,55,88,67,9,100,9,9,4,9,55,78,88,74,100,9
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,88,54,55,54,54,49,54,100,33,43,81,55,54
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,4,88,4,4,4,4,43,90,100,62,88,4
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,67,42,42,37,42,88,45,55,93,67,42
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,100,81,100,54,0,4,35,9,96
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,4,9,55,78,88,74,100,9
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,81,100,54,0,4,35,9,96
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,100,54,0,4,35,9,96
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,49,0,4,30,4,77
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,4,35,9,96
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,43,81,55,54
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,52,78,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,88,4
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,35
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
