"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,3,40,100,92,100,25,1,93,3,0,0,100,41,93,19,3,100,3,3,1,3,43,87,92,100,100,3
"Bulgaria",0,0,63,3,3,3,78,38,3,100,16,16,3,62,3,84,100,3,100,100,78,100,60,3,3,3,3,97
"Czechia",0,0,0,40,32,40,65,13,33,63,0,0,40,99,33,79,63,40,63,63,52,63,97,27,32,40,40,63
"Denmark",0,0,0,0,92,100,25,1,93,3,0,0,100,41,93,19,3,100,3,3,1,3,43,87,92,100,100,3
"Germany",0,0,0,0,0,92,25,1,99,3,0,0,92,33,99,11,3,92,3,3,1,3,35,95,100,92,92,3
"Estonia",0,0,0,0,0,0,25,1,93,3,0,0,100,41,93,19,3,100,3,3,1,3,43,87,92,100,100,3
"Ireland",0,0,0,0,0,0,0,38,25,78,16,16,25,64,25,62,78,25,78,78,76,78,66,25,25,25,25,75
"Spain",0,0,0,0,0,0,0,0,1,38,78,76,1,12,1,22,38,1,38,38,60,38,12,1,1,1,1,35
"France",0,0,0,0,0,0,0,0,0,3,0,0,93,34,100,12,3,93,3,3,1,3,36,94,99,93,93,3
"Croatia",0,0,0,0,0,0,0,0,0,0,16,16,3,62,3,84,100,3,100,100,78,100,60,3,3,3,3,97
"Italy",0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,16,0,16,16,38,16,0,0,0,0,0,13
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,36,16,0,0,0,0,0,13
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,41,93,19,3,100,3,3,1,3,43,87,92,100,100,3
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,78,62,41,62,62,51,62,98,28,33,41,41,62
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,93,3,3,1,3,36,94,99,93,93,3
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,19,84,84,62,84,76,6,11,19,19,84
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,78,100,60,3,3,3,3,97
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,43,87,92,100,100,3
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,78,100,60,3,3,3,3,97
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,100,60,3,3,3,3,97
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,51,1,1,1,1,75
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3,3,3,3,97
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35,43,43,60
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,87,87,3
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,92,3
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
