"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,44,85,67,58,99,78,1,67,44,0,0,67,86,58,53,94,67,44,52,35,44,86,49,58,100,67,44
"Bulgaria",0,0,59,11,2,43,66,25,11,100,8,8,11,58,2,91,50,11,100,92,61,100,58,1,2,44,11,100
"Czechia",0,0,0,52,43,84,93,10,52,59,0,0,52,99,43,68,91,52,59,67,45,59,99,34,43,85,52,59
"Denmark",0,0,0,0,91,68,45,1,100,11,0,0,100,53,91,20,61,100,11,19,3,11,53,82,91,67,100,11
"Germany",0,0,0,0,0,59,36,1,91,2,0,0,91,44,100,11,52,91,2,10,3,2,44,91,100,58,91,2
"Estonia",0,0,0,0,0,0,77,1,68,43,0,0,68,85,59,52,93,68,43,51,35,43,85,50,59,99,68,43
"Ireland",0,0,0,0,0,0,0,17,45,66,0,0,45,92,36,75,84,45,66,74,52,66,92,27,36,78,45,66
"Spain",0,0,0,0,0,0,0,0,1,25,83,83,1,9,1,17,1,1,25,17,63,25,9,1,1,1,1,25
"France",0,0,0,0,0,0,0,0,0,11,0,0,100,53,91,20,61,100,11,19,3,11,53,82,91,67,100,11
"Croatia",0,0,0,0,0,0,0,0,0,0,8,8,11,58,2,91,50,11,100,92,61,100,58,1,2,44,11,100
"Italy",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,8,0,46,8,0,0,0,0,0,8
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,46,8,0,0,0,0,0,8
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,53,91,20,61,100,11,19,3,11,53,82,91,67,100,11
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,67,92,53,58,66,44,58,100,35,44,86,53,58
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,52,91,2,10,3,2,44,91,100,58,91,2
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,20,91,99,54,91,67,2,11,53,20,91
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,50,58,36,50,92,43,52,94,61,50
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,3,11,53,82,91,67,100,11
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,61,100,58,1,2,44,11,100
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,92,66,1,10,52,19,92
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,44,2,3,35,3,61
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1,2,44,11,100
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,44,86,53,58
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,49,82,1
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,91,2
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,44
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
