"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,32,79,69,69,100,57,0,69,32,0,0,100,81,69,46,93,32,32,32,31,31,87,58,69,100,69,32
"Bulgaria",0,0,53,1,1,32,75,33,1,100,14,14,32,51,1,86,39,100,100,100,74,99,45,1,1,32,1,97
"Czechia",0,0,0,48,48,79,68,6,48,53,0,0,79,98,48,67,86,53,53,53,47,52,92,37,48,79,48,53
"Denmark",0,0,0,0,100,69,26,0,100,1,0,0,69,50,100,15,62,1,1,1,0,0,56,89,100,69,100,1
"Germany",0,0,0,0,0,69,26,0,100,1,0,0,69,50,100,15,62,1,1,1,0,0,56,89,100,69,100,1
"Estonia",0,0,0,0,0,0,57,0,69,32,0,0,100,81,69,46,93,32,32,32,31,31,87,58,69,100,69,32
"Ireland",0,0,0,0,0,0,0,33,26,75,14,14,57,66,26,61,64,75,75,75,74,74,70,26,26,57,26,72
"Spain",0,0,0,0,0,0,0,0,0,33,81,80,0,6,0,19,0,33,33,33,59,34,5,0,0,0,0,30
"France",0,0,0,0,0,0,0,0,0,1,0,0,69,50,100,15,62,1,1,1,0,0,56,89,100,69,100,1
"Croatia",0,0,0,0,0,0,0,0,0,0,14,14,32,51,1,86,39,100,100,100,74,99,45,1,1,32,1,97
"Italy",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,14,14,14,40,15,0,0,0,0,0,11
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,39,14,0,0,0,0,0,11
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,81,69,46,93,32,32,32,31,31,87,58,69,100,69,32
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,65,88,51,51,51,45,50,94,39,50,81,50,51
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,62,1,1,1,0,0,56,89,100,69,100,1
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,86,86,86,60,85,59,4,15,46,15,86
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,39,38,38,94,51,62,93,62,39
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,74,99,45,1,1,32,1,97
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,74,99,45,1,1,32,1,97
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,99,45,1,1,32,1,97
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,44,0,0,31,0,71
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,31,0,96
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,56,87,56,45
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,58,89,1
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,100,1
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,32
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
