"","Belgium","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,75,62,54,100,72,0,62,57,0,0,62,75,54,57,92,57,62,57,57,49,57,80,44,54,100,62,57
"Czechia",0,0,37,29,75,91,9,37,82,0,0,37,100,29,82,83,82,37,82,82,71,82,95,19,29,75,37,82
"Denmark",0,0,0,92,62,34,0,100,19,0,0,100,37,92,19,54,19,100,19,19,11,19,42,82,92,62,100,19
"Germany",0,0,0,0,54,26,0,92,11,0,0,92,29,100,11,46,11,92,11,11,11,11,34,90,100,54,92,11
"Estonia",0,0,0,0,0,72,0,62,57,0,0,62,75,54,57,92,57,62,57,57,49,57,80,44,54,100,62,57
"Ireland",0,0,0,0,0,0,15,34,85,0,0,34,91,26,85,80,85,34,85,85,77,85,92,16,26,72,34,85
"Spain",0,0,0,0,0,0,0,0,15,85,84,0,9,0,15,0,15,0,15,15,38,15,9,0,0,0,0,15
"France",0,0,0,0,0,0,0,0,19,0,0,100,37,92,19,54,19,100,19,19,11,19,42,82,92,62,100,19
"Croatia",0,0,0,0,0,0,0,0,0,0,0,19,82,11,100,65,100,19,100,100,77,100,77,1,11,57,19,100
"Italy",0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,37,92,19,54,19,100,19,19,11,19,42,82,92,62,100,19
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,29,82,83,82,37,82,82,71,82,95,19,29,75,37,82
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,46,11,92,11,11,11,11,34,90,100,54,92,11
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,100,19,100,100,77,100,77,1,11,57,19,100
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,54,65,65,57,65,88,36,46,92,54,65
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,100,100,77,100,77,1,11,57,19,100
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,11,19,42,82,92,62,100,19
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,77,100,77,1,11,57,19,100
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,100,77,1,11,57,19,100
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,69,1,11,49,11,77
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1,11,57,19,100
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,34,80,42,77
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,44,82,1
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,92,11
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,57
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
