"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,42,68,66,61,100,60,0,66,42,0,0,96,72,61,51,95,42,66,43,35,42,70,57,61,100,66,42
"Bulgaria",0,0,74,8,3,42,82,28,8,100,9,9,38,70,3,91,47,100,8,99,76,100,72,2,3,42,8,94
"Czechia",0,0,0,34,29,68,72,10,34,74,0,0,64,96,29,83,73,74,34,75,58,74,98,25,29,68,34,74
"Denmark",0,0,0,0,95,66,26,0,100,8,0,0,70,38,95,17,61,8,100,9,1,8,36,91,95,66,100,8
"Germany",0,0,0,0,0,61,21,0,95,3,0,0,65,33,100,12,56,3,95,4,1,3,31,96,100,61,95,3
"Estonia",0,0,0,0,0,0,60,0,66,42,0,0,96,72,61,51,95,42,66,43,35,42,70,57,61,100,66,42
"Ireland",0,0,0,0,0,0,0,28,26,82,9,9,56,70,21,73,65,82,26,81,75,82,72,20,21,60,26,76
"Spain",0,0,0,0,0,0,0,0,0,28,81,79,0,7,0,19,0,28,0,27,52,28,9,0,0,0,0,22
"France",0,0,0,0,0,0,0,0,0,8,0,0,70,38,95,17,61,8,100,9,1,8,36,91,95,66,100,8
"Croatia",0,0,0,0,0,0,0,0,0,0,9,9,38,70,3,91,47,100,8,99,76,100,72,2,3,42,8,94
"Italy",0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,9,0,8,33,9,0,0,0,0,0,3
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,31,9,0,0,0,0,0,3
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,68,65,47,91,38,70,39,31,38,66,61,65,96,70,38
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,79,77,70,38,71,54,70,98,29,33,72,38,70
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,56,3,95,4,1,3,31,96,100,61,95,3
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,91,17,92,67,91,81,8,12,51,17,91
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,61,48,40,47,75,52,56,95,61,47
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,99,76,100,72,2,3,42,8,94
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,36,91,95,66,100,8
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,99,73,3,4,43,9,94
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,56,0,1,35,1,70
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2,3,42,8,94
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,70,36,72
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,57,91,2
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,95,3
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,42
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
