"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,35,77,77,69,100,68,1,77,35,0,0,77,77,69,42,96,35,77,35,27,35,77,60,69,100,77,35
"Bulgaria",0,0,58,12,4,35,67,35,12,100,7,7,12,58,4,93,39,100,12,100,70,100,58,2,4,35,12,100
"Czechia",0,0,0,54,46,77,91,19,54,58,0,0,54,100,46,65,81,58,54,58,50,58,100,37,46,77,54,58
"Denmark",0,0,0,0,92,77,45,1,100,12,0,0,100,54,92,19,73,12,100,12,4,12,54,83,92,77,100,12
"Germany",0,0,0,0,0,69,37,1,92,4,0,0,92,46,100,11,65,4,92,4,4,4,46,91,100,69,92,4
"Estonia",0,0,0,0,0,0,68,1,77,35,0,0,77,77,69,42,96,35,77,35,27,35,77,60,69,100,77,35
"Ireland",0,0,0,0,0,0,0,28,45,67,0,0,45,91,37,74,72,67,45,67,59,67,91,28,37,68,45,67
"Spain",0,0,0,0,0,0,0,0,1,35,72,71,1,19,1,28,1,35,1,35,65,35,19,1,1,1,1,35
"France",0,0,0,0,0,0,0,0,0,12,0,0,100,54,92,19,73,12,100,12,4,12,54,83,92,77,100,12
"Croatia",0,0,0,0,0,0,0,0,0,0,7,7,12,58,4,93,39,100,12,100,70,100,58,2,4,35,12,100
"Italy",0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,7,0,7,37,7,0,0,0,0,0,7
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,37,7,0,0,0,0,0,7
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,54,92,19,73,12,100,12,4,12,54,83,92,77,100,12
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,65,81,58,54,58,50,58,100,37,46,77,54,58
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,65,4,92,4,4,4,46,91,100,69,92,4
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,93,19,93,63,93,65,2,11,42,19,93
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,73,39,31,39,81,56,65,96,73,39
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,100,70,100,58,2,4,35,12,100
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,12,54,83,92,77,100,12
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,100,58,2,4,35,12,100
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,50,2,4,27,4,70
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,2,4,35,12,100
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,46,77,54,58
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,60,83,2
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,92,4
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,35
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
