"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,56,78,60,53,100,78,1,60,56,0,0,100,78,53,56,93,56,60,56,56,56,86,46,53,100,60,56
"Bulgaria",0,0,78,16,9,56,78,16,16,100,0,0,56,78,9,100,63,100,16,100,100,100,70,2,9,56,16,100
"Czechia",0,0,0,38,31,78,84,8,38,78,0,0,78,100,31,78,85,78,38,78,78,78,92,24,31,78,38,78
"Denmark",0,0,0,0,93,60,38,1,100,16,0,0,60,38,93,16,53,16,100,16,16,16,46,86,93,60,100,16
"Germany",0,0,0,0,0,53,31,1,93,9,0,0,53,31,100,9,46,9,93,9,9,9,39,93,100,53,93,9
"Estonia",0,0,0,0,0,0,78,1,60,56,0,0,100,78,53,56,93,56,60,56,56,56,86,46,53,100,60,56
"Ireland",0,0,0,0,0,0,0,16,38,78,0,0,78,84,31,78,85,78,38,78,78,78,92,24,31,78,38,78
"Spain",0,0,0,0,0,0,0,0,1,16,84,83,1,8,1,16,1,16,1,16,16,16,8,1,1,1,1,16
"France",0,0,0,0,0,0,0,0,0,16,0,0,60,38,93,16,53,16,100,16,16,16,46,86,93,60,100,16
"Croatia",0,0,0,0,0,0,0,0,0,0,0,0,56,78,9,100,63,100,16,100,100,100,70,2,9,56,16,100
"Italy",0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,78,53,56,93,56,60,56,56,56,86,46,53,100,60,56
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,78,85,78,38,78,78,78,92,24,31,78,38,78
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,46,9,93,9,9,9,39,93,100,53,93,9
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,100,16,100,100,100,70,2,9,56,16,100
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,53,63,63,63,93,39,46,93,53,63
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,100,100,100,70,2,9,56,16,100
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,46,86,93,60,100,16
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,70,2,9,56,16,100
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,70,2,9,56,16,100
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2,9,56,16,100
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,39,86,46,70
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,46,86,2
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,93,9
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,56
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
