"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,38,75,66,63,100,63,0,66,38,0,0,99,75,63,45,82,38,66,38,38,35,75,55,62,100,66,38
"Bulgaria",0,0,63,4,1,38,75,27,4,100,7,7,37,63,1,93,56,100,4,100,100,72,63,0,1,38,4,100
"Czechia",0,0,0,41,38,75,86,14,41,63,0,0,74,100,38,70,93,63,41,63,63,59,100,30,37,75,41,63
"Denmark",0,0,0,0,97,66,29,0,100,4,0,0,67,41,97,11,48,4,100,4,4,1,41,89,96,66,100,4
"Germany",0,0,0,0,0,63,26,0,97,1,0,0,64,38,100,8,45,1,97,1,1,1,38,92,99,63,97,1
"Estonia",0,0,0,0,0,0,63,0,66,38,0,0,99,75,63,45,82,38,66,38,38,35,75,55,62,100,66,38
"Ireland",0,0,0,0,0,0,0,27,29,75,7,7,62,86,26,68,81,75,29,75,75,72,86,25,26,63,29,75
"Spain",0,0,0,0,0,0,0,0,0,27,80,80,0,14,0,20,13,27,0,27,27,55,14,0,0,0,0,27
"France",0,0,0,0,0,0,0,0,0,4,0,0,67,41,97,11,48,4,100,4,4,1,41,89,96,66,100,4
"Croatia",0,0,0,0,0,0,0,0,0,0,7,7,37,63,1,93,56,100,4,100,100,72,63,0,1,38,4,100
"Italy",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,7,0,7,7,35,0,0,0,0,0,7
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,35,0,0,0,0,0,7
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,74,64,44,81,37,67,37,37,34,74,56,63,99,67,37
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,70,93,63,41,63,63,59,100,30,37,75,41,63
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,45,1,97,1,1,1,38,92,99,63,97,1
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,93,11,93,93,65,70,0,7,45,11,93
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,48,56,56,53,93,37,44,82,48,56
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,100,100,72,63,0,1,38,4,100
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,41,89,96,66,100,4
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,72,63,0,1,38,4,100
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,63,0,1,38,4,100
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,1,35,1,72
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,37,75,41,63
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,55,89,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,96,1
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,38
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
