"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,38,73,65,57,100,55,2,58,38,0,0,65,73,58,57,100,38,65,38,38,38,38,51,57,100,65,38
"Bulgaria",0,0,65,3,3,38,83,40,3,100,19,19,3,65,3,81,38,100,3,100,100,85,100,3,3,38,3,95
"Czechia",0,0,0,38,30,73,60,11,31,65,0,0,38,100,31,84,73,65,38,65,65,56,65,24,30,73,38,65
"Denmark",0,0,0,0,92,65,20,2,93,3,0,0,100,38,93,22,65,3,100,3,3,3,3,86,92,65,100,3
"Germany",0,0,0,0,0,57,20,2,99,3,0,0,92,30,99,14,57,3,92,3,3,3,3,94,100,57,92,3
"Estonia",0,0,0,0,0,0,55,2,58,38,0,0,65,73,58,57,100,38,65,38,38,38,38,51,57,100,65,38
"Ireland",0,0,0,0,0,0,0,40,20,83,19,19,20,60,20,64,55,83,20,83,83,83,83,20,20,55,20,78
"Spain",0,0,0,0,0,0,0,0,2,40,79,78,2,11,2,21,2,40,2,40,40,55,40,2,2,2,2,35
"France",0,0,0,0,0,0,0,0,0,3,0,0,93,31,100,15,58,3,93,3,3,3,3,93,99,58,93,3
"Croatia",0,0,0,0,0,0,0,0,0,0,19,19,3,65,3,81,38,100,3,100,100,85,100,3,3,38,3,95
"Italy",0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,19,0,19,19,34,19,0,0,0,0,14
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,19,34,19,0,0,0,0,14
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,38,93,22,65,3,100,3,3,3,3,86,92,65,100,3
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,84,73,65,38,65,65,56,65,24,30,73,38,65
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,58,3,93,3,3,3,3,93,99,58,93,3
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,81,22,81,81,66,81,8,14,57,22,81
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,65,38,38,38,38,51,57,100,65,38
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,85,100,3,3,38,3,95
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,86,92,65,100,3
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,85,100,3,3,38,3,95
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,100,3,3,38,3,95
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,3,3,38,3,80
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,38,3,95
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,51,86,3
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,92,3
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,38
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
