"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,0,99,100,100,100,67,0,99,0,0,0,100,100,100,10,100,0,100,0,0,5,0,100,100,100,100,0
"Bulgaria",0,0,1,0,0,0,33,31,0,100,7,7,0,0,0,90,0,100,0,100,100,72,100,0,0,0,0,94
"Czechia",0,0,0,99,99,99,68,0,98,1,0,0,99,99,99,11,99,1,99,1,1,6,1,99,99,99,99,1
"Denmark",0,0,0,0,100,100,67,0,99,0,0,0,100,100,100,10,100,0,100,0,0,5,0,100,100,100,100,0
"Germany",0,0,0,0,0,100,67,0,99,0,0,0,100,100,100,10,100,0,100,0,0,5,0,100,100,100,100,0
"Estonia",0,0,0,0,0,0,67,0,99,0,0,0,100,100,100,10,100,0,100,0,0,5,0,100,100,100,100,0
"Ireland",0,0,0,0,0,0,0,31,67,33,7,7,67,67,67,29,67,33,67,33,33,38,33,67,67,67,67,27
"Spain",0,0,0,0,0,0,0,0,0,31,76,76,0,0,0,24,0,31,0,31,31,54,31,0,0,0,0,25
"France",0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,9,99,0,99,0,0,5,0,99,99,99,99,0
"Croatia",0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,90,0,100,0,100,100,72,100,0,0,0,0,94
"Italy",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,7,0,7,7,30,7,0,0,0,0,1
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,30,7,0,0,0,0,1
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,10,100,0,100,0,0,5,0,100,100,100,100,0
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,10,100,0,100,0,0,5,0,100,100,100,100,0
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,0,100,0,0,5,0,100,100,100,100,0
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,10,90,90,68,90,10,10,10,10,90
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,5,0,100,100,100,100,0
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,72,100,0,0,0,0,94
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100,100,100,100,0
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,72,100,0,0,0,0,94
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,100,0,0,0,0,94
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,5,5,5,5,66
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
