"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Iceland","Norway","Türkiye"
"Belgium",0,36,90,73,73,100,60,3,73,36,0,0,100,90,73,45,93,36,73,36,36,35,36,92,63,100,73,36
"Bulgaria",0,0,46,9,9,36,76,34,9,100,9,9,36,46,9,91,43,100,9,100,100,81,100,44,4,36,9,96
"Czechia",0,0,0,63,63,90,66,3,63,46,0,0,90,100,63,55,97,46,63,46,46,45,46,98,53,90,63,46
"Denmark",0,0,0,0,100,73,33,3,100,9,0,0,73,63,100,18,66,9,100,9,9,8,9,65,90,73,100,9
"Germany",0,0,0,0,0,73,33,3,100,9,0,0,73,63,100,18,66,9,100,9,9,8,9,65,90,73,100,9
"Estonia",0,0,0,0,0,0,60,3,73,36,0,0,100,90,73,45,93,36,73,36,36,35,36,92,63,100,73,36
"Ireland",0,0,0,0,0,0,0,34,33,76,9,9,60,66,33,67,67,76,33,76,76,75,76,68,28,60,33,72
"Spain",0,0,0,0,0,0,0,0,3,34,75,72,3,3,3,25,3,34,3,34,34,53,34,3,1,3,3,30
"France",0,0,0,0,0,0,0,0,0,9,0,0,73,63,100,18,66,9,100,9,9,8,9,65,90,73,100,9
"Croatia",0,0,0,0,0,0,0,0,0,0,9,9,36,46,9,91,43,100,9,100,100,81,100,44,4,36,9,96
"Italy",0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,9,0,9,9,28,9,0,0,0,0,5
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,27,9,0,0,0,0,5
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,90,73,45,93,36,73,36,36,35,36,92,63,100,73,36
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,55,97,46,63,46,46,45,46,98,53,90,63,46
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,66,9,100,9,9,8,9,65,90,73,100,9
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,91,18,91,91,72,91,53,8,45,18,91
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,66,43,43,42,43,99,56,93,66,43
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,100,81,100,44,4,36,9,96
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,8,9,65,90,73,100,9
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,81,100,44,4,36,9,96
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,100,44,4,36,9,96
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,43,3,35,8,77
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,36,9,96
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,92,65,44
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,90,4
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,36
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
