"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Norway","Türkiye"
"Belgium",0,2,31,100,99,100,21,1,100,2,0,0,100,31,100,10,51,2,100,2,2,2,2,35,96,99,100,2
"Bulgaria",0,0,71,2,2,2,81,34,2,100,8,8,2,71,2,92,51,100,2,100,100,82,100,67,2,2,2,96
"Czechia",0,0,0,31,30,31,76,17,31,71,0,0,31,100,31,79,80,71,31,71,71,65,71,96,27,30,31,71
"Denmark",0,0,0,0,99,100,21,1,100,2,0,0,100,31,100,10,51,2,100,2,2,2,2,35,96,99,100,2
"Germany",0,0,0,0,0,99,21,1,99,2,0,0,99,30,99,9,50,2,99,2,2,2,2,34,97,100,99,2
"Estonia",0,0,0,0,0,0,21,1,100,2,0,0,100,31,100,10,51,2,100,2,2,2,2,35,96,99,100,2
"Ireland",0,0,0,0,0,0,0,34,21,81,8,8,21,76,21,73,70,81,21,81,81,81,81,80,21,21,21,77
"Spain",0,0,0,0,0,0,0,0,1,34,74,73,1,17,1,26,10,34,1,34,34,52,34,17,1,1,1,30
"France",0,0,0,0,0,0,0,0,0,2,0,0,100,31,100,10,51,2,100,2,2,2,2,35,96,99,100,2
"Croatia",0,0,0,0,0,0,0,0,0,0,8,8,2,71,2,92,51,100,2,100,100,82,100,67,2,2,2,96
"Italy",0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,8,0,8,8,26,8,0,0,0,0,4
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,8,26,8,0,0,0,0,4
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,31,100,10,51,2,100,2,2,2,2,35,96,99,100,2
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,79,80,71,31,71,71,65,71,96,27,30,31,71
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,51,2,100,2,2,2,2,35,96,99,100,2
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,92,10,92,92,74,92,75,6,9,10,92
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,51,51,51,51,51,84,47,50,51,51
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,100,82,100,67,2,2,2,96
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,35,96,99,100,2
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,82,100,67,2,2,2,96
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,100,67,2,2,2,96
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,64,2,2,2,78
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,2,2,2,96
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,34,35,67
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,96,2
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,2
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
