"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Türkiye"
"Belgium",0,39,74,61,61,100,59,0,61,39,0,0,95,74,61,51,92,39,61,39,39,39,39,83,56,61,100,39
"Bulgaria",0,0,65,0,0,39,80,30,0,100,12,12,34,65,0,88,47,100,0,100,100,82,100,56,0,0,39,93
"Czechia",0,0,0,35,35,74,71,8,35,65,0,0,69,100,35,77,82,65,35,65,65,58,65,91,30,35,74,65
"Denmark",0,0,0,0,100,61,20,0,100,0,0,0,66,35,100,12,53,0,100,0,0,0,0,44,95,100,61,0
"Germany",0,0,0,0,0,61,20,0,100,0,0,0,66,35,100,12,53,0,100,0,0,0,0,44,95,100,61,0
"Estonia",0,0,0,0,0,0,59,0,61,39,0,0,95,74,61,51,92,39,61,39,39,39,39,83,56,61,100,39
"Ireland",0,0,0,0,0,0,0,30,20,80,12,12,54,71,20,68,67,80,20,80,80,80,80,76,20,20,59,73
"Spain",0,0,0,0,0,0,0,0,0,30,82,82,0,8,0,18,0,30,0,30,30,48,30,7,0,0,0,23
"France",0,0,0,0,0,0,0,0,0,0,0,0,66,35,100,12,53,0,100,0,0,0,0,44,95,100,61,0
"Croatia",0,0,0,0,0,0,0,0,0,0,12,12,34,65,0,88,47,100,0,100,100,82,100,56,0,0,39,93
"Italy",0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,12,0,12,12,30,12,0,0,0,0,5
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12,30,12,0,0,0,0,5
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,69,66,46,87,34,66,34,34,34,34,78,61,66,95,34
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,77,82,65,35,65,65,58,65,91,30,35,74,65
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,53,0,100,0,0,0,0,44,95,100,61,0
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,88,12,88,88,70,88,68,7,12,51,88
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,53,47,47,47,47,91,48,53,92,47
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,82,100,56,0,0,39,93
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,95,100,61,0
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,82,100,56,0,0,39,93
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,100,56,0,0,39,93
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,56,0,0,39,75
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,39,93
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,44,83,56
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,56,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
