"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway"
"Belgium",0,46,63,55,55,100,46,1,55,46,0,0,55,63,55,51,97,46,55,46,47,46,46,63,50,55,100,55
"Bulgaria",0,0,83,1,1,46,100,28,1,100,5,5,1,83,1,95,49,100,1,100,99,100,100,83,1,1,46,1
"Czechia",0,0,0,18,18,63,83,11,18,83,0,0,18,100,18,88,66,83,18,83,84,83,83,100,13,18,63,18
"Denmark",0,0,0,0,100,55,1,1,100,1,0,0,100,18,100,6,52,1,100,1,2,1,1,18,95,100,55,100
"Germany",0,0,0,0,0,55,1,1,100,1,0,0,100,18,100,6,52,1,100,1,2,1,1,18,95,100,55,100
"Estonia",0,0,0,0,0,0,46,1,55,46,0,0,55,63,55,51,97,46,55,46,47,46,46,63,50,55,100,55
"Ireland",0,0,0,0,0,0,0,28,1,100,5,5,1,83,1,95,49,100,1,100,99,100,100,83,1,1,46,1
"Spain",0,0,0,0,0,0,0,0,1,28,77,77,1,11,1,23,1,28,1,28,27,28,28,11,1,1,1,1
"France",0,0,0,0,0,0,0,0,0,1,0,0,100,18,100,6,52,1,100,1,2,1,1,18,95,100,55,100
"Croatia",0,0,0,0,0,0,0,0,0,0,5,5,1,83,1,95,49,100,1,100,99,100,100,83,1,1,46,1
"Italy",0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,5,0,5,4,5,5,0,0,0,0,0
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,5,5,0,0,0,0,0
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,18,100,6,52,1,100,1,2,1,1,18,95,100,55,100
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,88,66,83,18,83,84,83,83,100,13,18,63,18
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,52,1,100,1,2,1,1,18,95,100,55,100
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,95,6,95,96,95,95,88,1,6,51,6
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,52,49,50,49,49,66,47,52,97,52
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,99,100,100,83,1,1,46,1
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,18,95,100,55,100
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,100,100,83,1,1,46,1
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,84,1,2,47,2
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,83,1,1,46,1
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,1,1,46,1
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,18,63,18
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,50,95
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,100
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
