"","Belgium","Bulgaria","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,0,100,95,100,22,0,100,0,0,0,100,48,97,14,59,0,100,0,0,0,0,48,88,95,100,100,0
"Bulgaria",0,0,0,0,0,78,34,0,100,14,14,0,52,0,86,41,100,0,100,100,80,100,52,0,0,0,0,98
"Denmark",0,0,0,95,100,22,0,100,0,0,0,100,48,97,14,59,0,100,0,0,0,0,48,88,95,100,100,0
"Germany",0,0,0,0,95,22,0,95,0,0,0,95,43,98,9,54,0,95,0,0,0,0,43,93,100,95,95,0
"Estonia",0,0,0,0,0,22,0,100,0,0,0,100,48,97,14,59,0,100,0,0,0,0,48,88,95,100,100,0
"Ireland",0,0,0,0,0,0,34,22,78,14,14,22,74,22,64,63,78,22,78,78,78,78,74,22,22,22,22,76
"Spain",0,0,0,0,0,0,0,0,34,80,80,0,10,0,20,0,34,0,34,34,54,34,10,0,0,0,0,32
"France",0,0,0,0,0,0,0,0,0,0,0,100,48,97,14,59,0,100,0,0,0,0,48,88,95,100,100,0
"Croatia",0,0,0,0,0,0,0,0,0,14,14,0,52,0,86,41,100,0,100,100,80,100,52,0,0,0,0,98
"Italy",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,14,0,14,14,34,14,0,0,0,0,0,12
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,34,14,0,0,0,0,0,12
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,48,97,14,59,0,100,0,0,0,0,48,88,95,100,100,0
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,45,66,89,52,48,52,52,52,52,100,36,43,48,48,52
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,56,0,97,0,0,0,0,45,91,98,97,97,0
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,86,14,86,86,66,86,66,2,9,14,14,86
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,59,41,41,41,41,89,47,54,59,59,41
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,80,100,52,0,0,0,0,98
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,88,95,100,100,0
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,80,100,52,0,0,0,0,98
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,100,52,0,0,0,0,98
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,52,0,0,0,0,78
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,98
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,43,48,48,52
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,88,88,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,95,0
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
