"","Belgium","Bulgaria","Czechia","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,34,73,64,100,59,0,75,34,0,0,98,75,65,43,85,34,76,34,34,24,34,82,60,64,100,76,34
"Bulgaria",0,0,61,0,34,75,28,10,100,9,9,32,59,0,91,49,100,10,100,100,65,100,52,0,0,34,10,97
"Czechia",0,0,0,37,73,74,8,48,61,0,0,71,98,38,70,88,61,49,61,61,45,61,91,33,37,73,49,61
"Germany",0,0,0,0,64,25,0,89,0,0,0,66,39,99,7,49,0,88,0,0,0,0,46,96,100,64,88,0
"Estonia",0,0,0,0,0,59,0,75,34,0,0,98,75,65,43,85,34,76,34,34,24,34,82,60,64,100,76,34
"Ireland",0,0,0,0,0,0,28,35,75,9,9,57,72,25,66,74,75,35,75,75,65,75,77,25,25,59,35,72
"Spain",0,0,0,0,0,0,0,0,28,81,81,0,8,0,19,7,28,0,28,28,63,28,8,0,0,0,0,25
"France",0,0,0,0,0,0,0,0,10,0,0,77,50,90,18,60,10,99,10,10,0,10,57,85,89,75,99,10
"Croatia",0,0,0,0,0,0,0,0,0,9,9,32,59,0,91,49,100,10,100,100,65,100,52,0,0,34,10,97
"Italy",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,9,0,9,9,44,9,0,0,0,0,0,6
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,44,9,0,0,0,0,0,6
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,73,67,41,83,32,78,32,32,22,32,80,62,66,98,78,32
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,40,68,90,59,51,59,59,43,59,93,35,39,75,51,59
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,50,0,89,0,0,0,0,47,95,99,65,89,0
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,91,19,91,91,56,91,61,3,7,43,19,91
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,61,49,49,39,49,97,45,49,85,61,49
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,100,100,65,100,52,0,0,34,10,97
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,10,58,84,88,76,100,10
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,65,100,52,0,0,34,10,97
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,100,52,0,0,34,10,97
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,42,0,0,24,0,62
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,34,10,97
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,46,82,58,52
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,60,84,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,88,0
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,34
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
