"","Belgium","Bulgaria","Czechia","Denmark","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,25,80,78,100,51,0,78,25,0,0,78,80,75,41,91,25,78,25,25,23,25,80,65,70,100,78,25
"Bulgaria",0,0,45,3,25,74,39,3,100,16,16,3,45,0,84,34,100,3,100,100,76,100,45,0,0,25,3,94
"Czechia",0,0,0,58,80,71,10,58,45,0,0,58,100,55,61,89,45,58,45,45,43,45,100,45,50,80,58,45
"Denmark",0,0,0,0,78,29,0,100,3,0,0,100,58,97,19,69,3,100,3,3,1,3,58,87,92,78,100,3
"Estonia",0,0,0,0,0,51,0,78,25,0,0,78,80,75,41,91,25,78,25,25,23,25,80,65,70,100,78,25
"Ireland",0,0,0,0,0,0,39,29,74,16,16,29,71,26,58,60,74,29,74,74,72,74,71,26,26,51,29,68
"Spain",0,0,0,0,0,0,0,0,39,77,77,0,10,0,23,0,39,0,39,39,63,39,10,0,0,0,0,33
"France",0,0,0,0,0,0,0,0,3,0,0,100,58,97,19,69,3,100,3,3,1,3,58,87,92,78,100,3
"Croatia",0,0,0,0,0,0,0,0,0,16,16,3,45,0,84,34,100,3,100,100,76,100,45,0,0,25,3,94
"Italy",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,16,0,16,16,40,16,0,0,0,0,0,10
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,16,40,16,0,0,0,0,0,10
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,58,97,19,69,3,100,3,3,1,3,58,87,92,78,100,3
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,55,61,89,45,58,45,45,43,45,100,45,50,80,58,45
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,66,0,97,0,0,0,0,55,90,95,75,97,0
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,84,19,84,84,60,84,61,6,11,41,19,84
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,69,34,34,32,34,89,56,61,91,69,34
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100,100,76,100,45,0,0,25,3,94
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,3,58,87,92,78,100,3
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,76,100,45,0,0,25,3,94
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,100,45,0,0,25,3,94
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,43,0,0,23,1,70
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,25,3,94
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,50,80,58,45
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,65,87,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,92,0
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,25
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
