"","Belgium","Bulgaria","Czechia","Denmark","Germany","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,1,40,100,99,21,0,100,1,0,0,100,40,100,11,51,1,100,1,2,0,1,41,96,99,100,100,1
"Bulgaria",0,0,61,1,1,80,33,1,100,10,10,1,61,1,90,50,100,1,100,99,79,100,60,1,1,1,1,94
"Czechia",0,0,0,40,39,71,9,40,61,0,0,40,100,40,71,89,61,40,61,62,55,61,99,36,39,40,40,61
"Denmark",0,0,0,0,99,21,0,100,1,0,0,100,40,100,11,51,1,100,1,2,0,1,41,96,99,100,100,1
"Germany",0,0,0,0,0,21,0,99,1,0,0,99,39,99,10,50,1,99,1,2,0,1,40,97,100,99,99,1
"Ireland",0,0,0,0,0,0,33,21,80,10,10,21,71,21,70,70,80,21,80,79,79,80,72,21,21,21,21,74
"Spain",0,0,0,0,0,0,0,0,33,77,76,0,9,0,23,6,33,0,33,32,54,33,9,0,0,0,0,27
"France",0,0,0,0,0,0,0,0,1,0,0,100,40,100,11,51,1,100,1,2,0,1,41,96,99,100,100,1
"Croatia",0,0,0,0,0,0,0,0,0,10,10,1,61,1,90,50,100,1,100,99,79,100,60,1,1,1,1,94
"Italy",0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,10,0,10,9,31,10,0,0,0,0,0,4
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,9,30,10,0,0,0,0,0,4
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,40,100,11,51,1,100,1,2,0,1,41,96,99,100,100,1
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,40,71,89,61,40,61,62,55,61,99,36,39,40,40,61
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,51,1,100,1,2,0,1,41,96,99,100,100,1
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,90,11,90,91,69,90,70,7,10,11,11,90
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,51,50,51,49,50,90,47,50,51,51,50
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,99,79,100,60,1,1,1,1,94
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,41,96,99,100,100,1
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,79,100,60,1,1,1,1,94
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,99,61,1,2,2,2,93
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,55,0,0,0,0,73
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,1,1,1,94
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,40,41,41,60
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,96,96,1
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,1
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
