"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,39,76,69,62,100,0,69,39,0,0,99,88,62,49,100,39,69,39,39,11,39,91,51,62,100,69,39
"Bulgaria",0,0,63,8,1,39,30,8,100,10,10,38,51,1,90,39,100,8,100,100,45,100,48,0,1,39,8,100
"Czechia",0,0,0,45,38,76,11,45,63,0,0,75,88,38,73,76,63,45,63,63,25,63,85,27,38,76,45,63
"Denmark",0,0,0,0,93,69,0,100,8,0,0,70,57,93,18,69,8,100,8,8,1,8,60,82,93,69,100,8
"Germany",0,0,0,0,0,62,0,93,1,0,0,63,50,100,11,62,1,93,1,1,1,1,53,89,100,62,93,1
"Estonia",0,0,0,0,0,0,0,69,39,0,0,99,88,62,49,100,39,69,39,39,11,39,91,51,62,100,69,39
"Spain",0,0,0,0,0,0,0,0,30,80,80,0,0,0,20,0,30,0,30,30,85,30,0,0,0,0,0,30
"France",0,0,0,0,0,0,0,0,8,0,0,70,57,93,18,69,8,100,8,8,1,8,60,82,93,69,100,8
"Croatia",0,0,0,0,0,0,0,0,0,10,10,38,51,1,90,39,100,8,100,100,45,100,48,0,1,39,8,100
"Italy",0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,10,0,10,10,65,10,0,0,0,0,0,10
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,10,65,10,0,0,0,0,0,10
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,87,63,48,99,38,70,38,38,11,38,90,52,63,99,70,38
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,50,61,88,51,57,51,51,13,51,97,39,50,88,57,51
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,62,1,93,1,1,1,1,53,89,100,62,93,1
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,90,18,90,90,35,90,58,0,11,49,18,90
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,69,39,39,11,39,91,51,62,100,69,39
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,100,100,45,100,48,0,1,39,8,100
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,1,8,60,82,93,69,100,8
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,45,100,48,0,1,39,8,100
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,100,48,0,1,39,8,100
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,11,0,1,11,1,45
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,1,39,8,100
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,53,91,60,48
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,51,82,0
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,93,1
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,39
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
