"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,59,79,42,41,100,80,42,59,0,0,42,84,42,68,96,59,42,59,59,59,59,94,36,41,100,42,59
"Bulgaria",0,0,80,1,1,59,79,1,100,9,9,1,75,1,91,63,100,1,100,100,100,100,65,1,1,59,1,97
"Czechia",0,0,0,21,20,79,81,21,80,0,0,21,95,21,89,83,80,21,80,80,80,80,85,15,20,79,21,80
"Denmark",0,0,0,0,99,42,22,100,1,0,0,100,26,100,10,38,1,100,1,1,1,1,36,94,99,42,100,1
"Germany",0,0,0,0,0,41,22,99,1,0,0,99,25,99,9,37,1,99,1,1,1,1,35,95,100,41,99,1
"Estonia",0,0,0,0,0,0,80,42,59,0,0,42,84,42,68,96,59,42,59,59,59,59,94,36,41,100,42,59
"Ireland",0,0,0,0,0,0,0,22,79,9,9,22,76,22,70,84,79,22,79,79,79,79,86,22,22,80,22,76
"France",0,0,0,0,0,0,0,0,1,0,0,100,26,100,10,38,1,100,1,1,1,1,36,94,99,42,100,1
"Croatia",0,0,0,0,0,0,0,0,0,9,9,1,75,1,91,63,100,1,100,100,100,100,65,1,1,59,1,97
"Italy",0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,9,0,9,9,9,9,0,0,0,0,0,6
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,9,9,0,0,0,0,0,6
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,26,100,10,38,1,100,1,1,1,1,36,94,99,42,100,1
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,26,84,88,75,26,75,75,75,75,90,20,25,84,26,75
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,1,100,1,1,1,1,36,94,99,42,100,1
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,91,10,91,91,91,91,74,4,9,68,10,91
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,38,63,63,63,63,98,32,37,96,38,63
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,100,100,100,65,1,1,59,1,97
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,36,94,99,42,100,1
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,65,1,1,59,1,97
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,65,1,1,59,1,97
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,65,1,1,59,1,97
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,1,59,1,97
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,35,94,36,65
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,36,94,1
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,99,1
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,59
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
