"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,43,69,59,59,100,68,1,43,0,0,99,71,59,52,91,43,59,43,43,43,43,71,52,59,100,59,43
"Bulgaria",0,0,74,2,2,43,75,23,100,9,9,42,72,2,91,52,100,2,100,100,78,100,72,2,2,43,2,98
"Czechia",0,0,0,28,28,69,77,11,74,0,0,68,98,28,83,78,74,28,74,74,65,74,98,21,28,69,28,74
"Denmark",0,0,0,0,100,59,27,1,2,0,0,60,30,100,11,50,2,100,2,2,2,2,30,93,100,59,100,2
"Germany",0,0,0,0,0,59,27,1,2,0,0,60,30,100,11,50,2,100,2,2,2,2,30,93,100,59,100,2
"Estonia",0,0,0,0,0,0,68,1,43,0,0,99,71,59,52,91,43,59,43,43,43,43,71,52,59,100,59,43
"Ireland",0,0,0,0,0,0,0,23,75,9,9,67,75,27,66,77,75,27,75,75,75,75,75,27,27,68,27,73
"Spain",0,0,0,0,0,0,0,0,23,86,85,1,9,1,14,1,23,1,23,23,45,23,9,1,1,1,1,21
"Croatia",0,0,0,0,0,0,0,0,0,9,9,42,72,2,91,52,100,2,100,100,78,100,72,2,2,43,2,98
"Italy",0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,9,0,9,9,31,9,0,0,0,0,0,7
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,31,9,0,0,0,0,0,7
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,70,60,51,90,42,60,42,42,42,42,70,53,60,99,60,42
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,30,81,80,72,30,72,72,63,72,100,23,30,71,30,72
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,50,2,100,2,2,2,2,30,93,100,59,100,2
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,91,11,91,91,69,91,81,4,11,52,11,91
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,50,52,52,52,52,80,43,50,91,50,52
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,100,78,100,72,2,2,43,2,98
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,30,93,100,59,100,2
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,78,100,72,2,2,43,2,98
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,100,72,2,2,43,2,98
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,63,2,2,43,2,76
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,2,2,43,2,98
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,30,71,30,72
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,52,93,2
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,100,2
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,43
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
