"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,885,1962,1970,1864,2620,1442,61,1958,775,0,100,2346,1996,1816,1199,2296,888,1971,836,866,704,840,2008,1649,1820,2700,1961,784
"Bulgaria",0,0,1616,161,114,938,2062,901,268,2683,359,294,578,1610,170,2402,1307,2692,260,2780,2703,2152,2737,1522,51,116,849,263,2596
"Czechia",0,0,0,1202,1130,1944,1856,287,1273,1460,0,77,1665,2548,1137,1919,2206,1547,1260,1564,1583,1311,1567,2456,921,1059,1904,1314,1470
"Denmark",0,0,0,0,2518,1914,763,118,2526,133,1,82,2278,1284,2497,488,1580,230,2580,143,172,73,161,1367,2350,2499,1997,2587,144
"Germany",0,0,0,0,0,1786,689,117,2479,90,1,50,2157,1171,2581,365,1467,183,2430,96,104,87,122,1245,2477,2637,1890,2413,95
"Estonia",0,0,0,0,0,0,1403,94,1902,828,10,110,2290,1979,1763,1224,2270,943,1914,889,917,760,893,1991,1605,1771,2620,1905,831
"Ireland",0,0,0,0,0,0,0,864,801,1914,388,393,1083,1861,701,1759,1767,1958,795,1979,1998,1979,1991,1909,612,649,1395,828,1796
"Spain",0,0,0,0,0,0,0,0,40,943,2061,1947,136,272,136,543,150,844,151,872,860,1453,886,286,108,117,58,141,766
"France",0,0,0,0,0,0,0,0,0,142,10,71,2226,1314,2440,518,1559,337,2444,250,256,148,268,1381,2298,2450,1985,2435,247
"Croatia",0,0,0,0,0,0,0,0,0,0,356,370,476,1440,146,2230,1184,2511,232,2599,2522,2039,2570,1354,29,92,739,235,2417
"Italy",0,0,0,0,0,0,0,0,0,0,0,2566,0,0,1,17,16,334,14,343,331,965,359,0,0,1,0,5,256
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,78,50,59,112,271,91,279,339,815,281,87,42,50,100,87,209
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,1629,2106,883,1949,646,2251,529,529,437,539,1729,1957,2158,2346,2259,527
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,1873,2256,1526,1285,1542,1563,1290,1543,2496,964,1102,1939,1344,1446
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,1439,239,2401,152,160,113,178,1245,2410,2568,1843,2383,151
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,2266,558,2334,2348,1739,2289,1787,148,353,1162,581,2227
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201,1560,1251,1283,1096,1255,2319,1248,1407,2250,1595,1192
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,2608,2549,2021,2565,1440,111,185,852,332,2427
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,255,145,260,1356,2264,2399,1998,2493,238
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2620,2082,2654,1460,33,98,800,245,2518
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2033,2576,1473,31,106,830,274,2446
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2053,1256,29,86,669,147,1890
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426,59,123,804,263,2469
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979,1183,1949,1405,1367
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2482,1681,2235,32
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1818,2382,97
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,748
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
