"","Belgium","Bulgaria","Czechia","Denmark","Germany","Estonia","Ireland","Spain","France","Croatia","Italy","Cyprus","Latvia","Lithuania","Luxembourg","Hungary","Malta","Netherlands","Austria","Poland","Portugal","Romania","Slovenia","Slovakia","Finland","Sweden","Iceland","Norway","Türkiye"
"Belgium",0,389,707,638,606,1000,595,3,638,389,0,0,638,722,617,481,928,389,638,389,389,366,389,801,550,604,1000,638,389
"Bulgaria",0,0,682,27,6,389,794,297,27,1000,92,92,27,667,6,908,461,1000,27,1000,1000,787,1000,588,6,6,389,27,975
"Czechia",0,0,0,345,313,707,736,109,345,682,0,0,345,985,324,774,779,682,345,682,682,589,682,906,257,311,707,345,682
"Denmark",0,0,0,0,968,638,233,3,1000,27,0,0,1000,360,979,119,566,27,1000,27,27,4,27,439,912,966,638,1000,27
"Germany",0,0,0,0,0,606,212,3,968,6,0,0,968,328,989,87,534,6,968,6,6,4,6,407,944,998,606,968,6
"Estonia",0,0,0,0,0,0,595,3,638,389,0,0,638,722,617,481,928,389,638,389,389,366,389,801,550,604,1000,638,389
"Ireland",0,0,0,0,0,0,0,297,233,794,92,92,233,727,212,702,667,794,233,794,794,771,794,794,212,212,595,233,769
"Spain",0,0,0,0,0,0,0,0,3,297,795,792,3,109,3,205,3,297,3,297,297,510,297,104,3,3,3,3,272
"France",0,0,0,0,0,0,0,0,0,27,0,0,1000,360,979,119,566,27,1000,27,27,4,27,439,912,966,638,1000,27
"Croatia",0,0,0,0,0,0,0,0,0,0,92,92,27,667,6,908,461,1000,27,1000,1000,787,1000,588,6,6,389,27,975
"Italy",0,0,0,0,0,0,0,0,0,0,0,994,0,0,0,0,0,92,0,92,92,305,92,0,0,0,0,0,67
"Cyprus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,92,92,303,92,0,0,0,0,0,67
"Latvia",0,0,0,0,0,0,0,0,0,0,0,0,0,360,979,119,566,27,1000,27,27,4,27,439,912,966,638,1000,27
"Lithuania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,759,794,667,360,667,667,574,667,921,272,326,722,360,667
"Luxembourg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,545,6,979,6,6,4,6,418,933,987,617,979,6
"Hungary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553,908,119,908,908,695,908,680,31,85,481,119,908
"Malta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,566,461,461,438,461,873,478,532,928,566,461
"Netherlands",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1000,1000,787,1000,588,6,6,389,27,975
"Austria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,4,27,439,912,966,638,1000,27
"Poland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,787,1000,588,6,6,389,27,975
"Portugal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,1000,588,6,6,389,27,975
"Romania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,565,4,4,366,4,762
"Slovenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,6,6,389,27,975
"Slovakia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351,405,801,439,588
"Finland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,550,912,6
"Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604,966,6
"Iceland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,389
"Norway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Türkiye",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
